"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","visits_raw_w3","visits_u_w3","day_range_w3","active_days_w3","count_domains_w3","diff_day_range_w1_w2","domain_right_w1","domain_center_w1","domain_left_w1","domain_left_w2","domain_right_w2","domain_center_w2","domain_right_w3","domain_center_w3","domain_left_w3","domain_right_mean_w1","domain_center_mean_w1","domain_left_mean_w1","domain_left_mean_w2","domain_right_mean_w2","domain_center_mean_w2","domain_right_mean_w3","domain_center_mean_w3","domain_left_mean_w3"
617,3526,1545,21,17,191,24466,12074,69,51,623,13872,6973,83,42,530,-48,77,0,10,38,444,3,115,1,8,4.52941176470588,0,0.588235294117647,0.745098039215686,8.70588235294118,0.0588235294117647,2.73809523809524,0.0238095238095238,0.19047619047619
618,15442,8898,62,61,535,3254,1920,66,9,180,11497,5686,94,17,309,-4,35,1,0,0,2,0,13,0,1,0.573770491803279,0.0163934426229508,0,0,0.222222222222222,0,0.764705882352941,0,0.0588235294117647
619,18843,9173,90,87,140,8904,4459,91,87,112,5622,3336,85,55,121,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,93294,44323,80,80,506,45535,20734,91,35,401,10736,6670,77,76,221,-11,596,0,490,175,1499,0,643,0,18,7.45,0,6.125,5,42.8285714285714,0,8.46052631578947,0,0.236842105263158
621,19274,10891,90,67,369,1346,862,93,8,98,7209,4012,82,26,210,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,4365,1823,29,22,117,11634,4864,94,10,232,56532,23281,82,65,516,-65,8,0,0,2,89,0,356,1,17,0.363636363636364,0,0,0.2,8.9,0,5.47692307692308,0.0153846153846154,0.261538461538462
623,59522,40159,90,88,919,25420,20040,92,70,633,29670,23153,87,74,639,-2,324,1,195,31,120,6,326,3,78,3.68181818181818,0.0113636363636364,2.21590909090909,0.442857142857143,1.71428571428571,0.0857142857142857,4.40540540540541,0.0405405405405405,1.05405405405405
624,211441,82769,90,90,1317,313555,99082,97,92,1190,289800,87687,83,83,1138,-7,273,2,16,26,260,2,277,13,66,3.03333333333333,0.0222222222222222,0.177777777777778,0.282608695652174,2.82608695652174,0.0217391304347826,3.33734939759036,0.156626506024096,0.795180722891566
625,17259,7887,91,91,385,17994,8512,91,91,374,18902,8895,84,84,409,0,10,0,0,1,7,0,19,0,8,0.10989010989011,0,0,0.010989010989011,0.0769230769230769,0,0.226190476190476,0,0.0952380952380952
626,11229,6217,86,25,332,19614,10048,93,38,362,8815,5236,86,51,247,-7,91,0,13,15,655,0,34,0,0,3.64,0,0.52,0.394736842105263,17.2368421052632,0,0.666666666666667,0,0
627,14168,5611,91,83,249,15017,5375,73,35,242,15866,6132,75,72,260,18,3,0,0,5,2,0,50,0,4,0.036144578313253,0,0,0.142857142857143,0.0571428571428571,0,0.694444444444444,0,0.0555555555555556
628,23316,12121,79,79,375,4212,2796,114,84,225,3017,959,66,30,78,-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
629,12589,9500,44,38,311,5757,4006,93,14,239,4113,2422,84,24,227,-49,5,0,4,1,1,1,5,0,0,0.131578947368421,0,0.105263157894737,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.208333333333333,0,0
630,4129,2398,90,90,256,20132,10581,98,98,513,4664,2545,80,79,201,-8,128,0,188,317,224,1,30,0,163,1.42222222222222,0,2.08888888888889,3.23469387755102,2.28571428571429,0.0102040816326531,0.379746835443038,0,2.06329113924051
631,30802,15115,90,85,632,27681,14668,99,84,558,10271,5651,95,86,347,-9,28,1,29,53,5,0,4,1,8,0.329411764705882,0.0117647058823529,0.341176470588235,0.630952380952381,0.0595238095238095,0,0.0465116279069767,0.0116279069767442,0.0930232558139535
632,14202,9920,91,60,213,7112,2546,95,56,236,17,9,1,1,4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,70491,25440,91,91,357,74928,30791,107,93,345,72030,32847,79,79,419,-16,24,2,63,634,2981,0,1673,2,124,0.263736263736264,0.021978021978022,0.692307692307692,6.81720430107527,32.0537634408602,0,21.1772151898734,0.0253164556962025,1.56962025316456
634,2227,1135,87,47,121,19703,10902,58,42,418,39243,21878,90,90,718,29,1,0,0,18,56,1,73,0,42,0.0212765957446809,0,0,0.428571428571429,1.33333333333333,0.0238095238095238,0.811111111111111,0,0.466666666666667
635,46761,18167,48,44,456,63410,24227,89,53,581,56906,24102,82,64,622,-41,4,0,2,2,3,0,24,0,0,0.0909090909090909,0,0.0454545454545455,0.0377358490566038,0.0566037735849057,0,0.375,0,0
636,26900,17694,86,51,492,24904,13017,67,53,554,648,449,84,38,55,19,113,1,67,36,497,0,0,0,1,2.2156862745098,0.0196078431372549,1.31372549019608,0.679245283018868,9.37735849056604,0,0,0,0.0263157894736842
637,18846,8970,91,87,217,8005,5026,94,54,179,1224,670,78,5,46,-3,1,0,96,3,0,0,6,0,3,0.0114942528735632,0,1.10344827586207,0.0555555555555556,0,0,1.2,0,0.6
638,4781,3391,90,50,162,2394,1874,105,18,99,5830,4208,78,51,123,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,14848,9167,81,34,346,95291,42274,90,90,930,229,106,2,2,20,-9,13,0,0,7,103,0,1,0,0,0.382352941176471,0,0,0.0777777777777778,1.14444444444444,0,0.5,0,0
640,18408,10115,88,71,390,6531,3123,88,42,152,5622,2887,78,40,147,0,85,0,49,0,130,0,112,0,8,1.19718309859155,0,0.690140845070423,0,3.0952380952381,0,2.8,0,0.2
641,24840,13480,59,58,444,10150,5236,93,28,251,4654,2182,75,15,167,-34,116,0,0,2,145,0,3,0,0,2,0,0,0.0714285714285714,5.17857142857143,0,0.2,0,0
642,6076,3581,31,18,199,14653,8664,72,58,486,9068,4699,76,18,294,-41,107,0,0,0,107,0,15,0,0,5.94444444444444,0,0,0,1.8448275862069,0,0.833333333333333,0,0
643,34590,23707,91,91,1104,36742,24470,96,92,1122,20580,12642,85,54,705,-5,537,1,93,69,390,40,301,4,66,5.9010989010989,0.010989010989011,1.02197802197802,0.75,4.23913043478261,0.434782608695652,5.57407407407407,0.0740740740740741,1.22222222222222
644,40942,37679,92,92,1923,43819,37761,91,81,1961,44467,28612,86,81,1868,1,340,15,252,242,129,16,452,13,960,3.69565217391304,0.16304347826087,2.73913043478261,2.98765432098765,1.59259259259259,0.197530864197531,5.58024691358025,0.160493827160494,11.8518518518519
645,8212,3834,35,34,214,26491,4977,91,23,295,5343,1598,83,17,101,-56,1,1,1,1,0,0,13,0,2,0.0294117647058824,0.0294117647058824,0.0294117647058824,0.0434782608695652,0,0,0.764705882352941,0,0.117647058823529
646,113939,45364,81,81,479,53737,26102,92,89,513,4708,2204,81,12,100,-11,1019,0,578,123,1270,15,70,0,5,12.5802469135802,0,7.1358024691358,1.38202247191011,14.2696629213483,0.168539325842697,5.83333333333333,0,0.416666666666667
647,11792,6366,36,36,177,24433,14966,97,92,258,19984,12582,81,81,280,-61,266,5,0,11,240,20,66,0,1,7.38888888888889,0.138888888888889,0,0.119565217391304,2.60869565217391,0.217391304347826,0.814814814814815,0,0.0123456790123457
648,36740,16595,90,80,349,21017,9329,93,61,265,22714,10028,74,59,278,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,65533,36030,90,88,686,37063,20955,92,91,710,23555,19824,89,79,722,-2,385,4,47,63,472,3,141,3,32,4.375,0.0454545454545455,0.534090909090909,0.692307692307692,5.18681318681319,0.032967032967033,1.78481012658228,0.0379746835443038,0.40506329113924
650,50036,26044,77,48,838,35946,17860,96,47,695,1561,796,93,2,88,-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
651,83426,33275,91,72,604,3006,1493,96,29,108,92922,37806,83,78,722,-5,19,0,1,0,6,0,74,2,8,0.263888888888889,0,0.0138888888888889,0,0.206896551724138,0,0.948717948717949,0.0256410256410256,0.102564102564103
652,96,61,89,34,30,9211,5360,98,88,243,3320,2140,86,54,135,-9,7,0,0,17,17,0,14,0,4,0.205882352941176,0,0,0.193181818181818,0.193181818181818,0,0.259259259259259,0,0.0740740740740741
653,40031,20506,91,91,1205,119221,15908,58,57,664,642533,11916,52,38,457,33,21,3,17,7,16,0,3,1,0,0.230769230769231,0.032967032967033,0.186813186813187,0.12280701754386,0.280701754385965,0,0.0789473684210526,0.0263157894736842,0
654,2474,650,81,13,39,888,390,54,8,33,665,247,75,18,21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,27473,11932,91,91,339,24527,14022,117,80,354,6,4,1,1,2,-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
656,247118,19430,92,92,481,140204,26205,65,65,507,62133,38094,82,82,637,27,2,0,0,0,3,0,0,0,18,0.0217391304347826,0,0,0,0.0461538461538462,0,0,0,0.219512195121951
657,1343,1210,25,16,155,939,621,105,38,107,2595,1751,82,68,100,-80,25,0,14,35,3,0,161,0,10,1.5625,0,0.875,0.921052631578947,0.0789473684210526,0,2.36764705882353,0,0.147058823529412
658,6562,4238,38,28,311,10594,6949,96,48,335,13413,8730,85,51,350,-58,70,0,39,1,59,0,71,1,1,2.5,0,1.39285714285714,0.0208333333333333,1.22916666666667,0,1.3921568627451,0.0196078431372549,0.0196078431372549
659,1867,1160,31,30,85,2871,1761,91,18,166,8682,5354,83,82,318,-60,1,0,0,3,1,2,5,0,4,0.0333333333333333,0,0,0.166666666666667,0.0555555555555556,0.111111111111111,0.0609756097560976,0,0.0487804878048781
660,74363,38336,60,58,636,29064,14965,92,26,421,17648,8716,79,18,314,-32,52,0,8,4,98,0,38,0,1,0.896551724137931,0,0.137931034482759,0.153846153846154,3.76923076923077,0,2.11111111111111,0,0.0555555555555556
661,203473,46605,42,42,231,263109,83696,91,89,402,457696,103901,83,83,341,-49,950,38,539,1345,2576,10,7546,6,1064,22.6190476190476,0.904761904761905,12.8333333333333,15.1123595505618,28.9438202247191,0.112359550561798,90.9156626506024,0.072289156626506,12.8192771084337
662,29862,12892,91,85,222,13242,7320,103,77,182,12387,3863,75,61,196,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
664,6208,2879,29,28,200,7308,4121,66,51,210,14212,7953,84,76,301,-37,3,0,1,0,3,0,13,0,2,0.107142857142857,0,0.0357142857142857,0,0.0588235294117647,0,0.171052631578947,0,0.0263157894736842
665,48090,25714,86,86,1045,53319,30327,70,70,914,53859,38927,86,86,1176,16,93,0,1015,997,119,1,85,1,1166,1.08139534883721,0,11.8023255813953,14.2428571428571,1.7,0.0142857142857143,0.988372093023256,0.0116279069767442,13.5581395348837
666,12150,5654,89,62,348,14244,7128,102,78,419,5492,2763,88,25,215,-13,2,0,0,1,5,0,1,0,0,0.032258064516129,0,0,0.0128205128205128,0.0641025641025641,0,0.04,0,0
667,33696,17814,63,43,479,64285,31853,97,57,759,45569,22653,79,58,594,-34,192,0,241,454,1952,11,1571,0,29,4.46511627906977,0,5.6046511627907,7.96491228070175,34.2456140350877,0.192982456140351,27.0862068965517,0,0.5
668,9907,4320,24,24,102,14037,7453,94,55,124,38937,15599,81,81,207,-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,65143,33055,91,91,851,29587,15955,91,84,529,36199,17337,76,61,545,0,414,1,1,0,146,1,224,1,4,4.54945054945055,0.010989010989011,0.010989010989011,0,1.73809523809524,0.0119047619047619,3.67213114754098,0.0163934426229508,0.0655737704918033
671,3989,3165,91,79,226,28761,16768,55,55,580,38027,26070,81,81,608,36,6,0,0,3,31,0,37,0,8,0.0759493670886076,0,0,0.0545454545454545,0.563636363636364,0,0.45679012345679,0,0.0987654320987654
672,14688,5997,23,23,194,13991,4802,92,17,182,16683,6847,75,28,223,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
673,8562,4352,91,91,368,6637,3372,69,36,238,15443,7293,91,91,418,22,135,0,4,1,121,0,166,1,5,1.48351648351648,0,0.043956043956044,0.0277777777777778,3.36111111111111,0,1.82417582417582,0.010989010989011,0.0549450549450549
674,5162,2737,28,16,157,1097,477,44,5,64,6531,2530,82,38,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
675,24109,14848,66,58,547,44877,23316,95,87,744,41160,20631,82,72,660,-29,319,2,61,62,640,1,239,1,136,5.5,0.0344827586206897,1.05172413793103,0.71264367816092,7.35632183908046,0.0114942528735632,3.31944444444444,0.0138888888888889,1.88888888888889
676,45623,27763,90,88,946,764,306,1,1,38,40227,30037,85,84,1208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677,41959,20909,91,85,876,45595,21952,96,91,868,2725,1177,85,7,118,-5,26,1,11,7,33,0,2,0,0,0.305882352941176,0.0117647058823529,0.129411764705882,0.0769230769230769,0.362637362637363,0,0.285714285714286,0,0
678,40849,10555,91,82,385,8284,5551,92,70,312,13083,6241,82,78,473,-1,73,1,30,8,17,0,113,1,99,0.890243902439024,0.0121951219512195,0.365853658536585,0.114285714285714,0.242857142857143,0,1.44871794871795,0.0128205128205128,1.26923076923077
679,101585,55143,90,90,920,26643,18492,89,46,584,41213,24954,88,80,671,1,188,0,45,9,283,0,244,0,20,2.08888888888889,0,0.5,0.195652173913043,6.15217391304348,0,3.05,0,0.25
680,35249,28378,91,77,468,25190,20276,90,71,340,29641,25400,85,74,533,1,17,2,1,0,2,0,8,1,3,0.220779220779221,0.025974025974026,0.012987012987013,0,0.028169014084507,0,0.108108108108108,0.0135135135135135,0.0405405405405405
681,18725,12265,46,46,507,23147,13968,92,44,448,19766,11326,84,36,518,-46,175,4,24,13,88,3,101,3,19,3.80434782608696,0.0869565217391304,0.521739130434783,0.295454545454545,2,0.0681818181818182,2.80555555555556,0.0833333333333333,0.527777777777778
682,62758,34974,91,91,533,9448,5924,76,21,227,36456,20543,72,61,460,15,1,0,0,0,1,0,3,0,0,0.010989010989011,0,0,0,0.0476190476190476,0,0.0491803278688525,0,0
683,15461,8587,37,37,250,22198,12342,98,88,385,23954,11911,81,80,301,-61,8,0,0,1,4,0,0,0,2,0.216216216216216,0,0,0.0113636363636364,0.0454545454545455,0,0,0,0.025
684,13647,7402,90,69,455,41662,21629,99,62,993,7416,3228,78,11,239,-9,402,1,0,27,909,0,138,0,2,5.82608695652174,0.0144927536231884,0,0.435483870967742,14.6612903225806,0,12.5454545454545,0,0.181818181818182
685,63163,35052,90,90,1190,50955,31542,93,93,968,50056,30208,82,82,952,-3,437,6,13,8,164,6,131,2,17,4.85555555555556,0.0666666666666667,0.144444444444444,0.0860215053763441,1.76344086021505,0.0645161290322581,1.59756097560976,0.024390243902439,0.207317073170732
686,119845,94682,92,78,1051,99391,82767,93,84,1241,26153,20606,27,27,440,-1,53,6,24,37,73,8,25,0,9,0.67948717948718,0.0769230769230769,0.307692307692308,0.44047619047619,0.869047619047619,0.0952380952380952,0.925925925925926,0,0.333333333333333
687,13693,6799,91,85,348,10332,7541,89,49,385,5979,3868,80,43,310,2,47,1,7,4,74,1,34,2,5,0.552941176470588,0.0117647058823529,0.0823529411764706,0.0816326530612245,1.51020408163265,0.0204081632653061,0.790697674418605,0.0465116279069767,0.116279069767442
688,54620,32424,91,91,696,37807,18300,96,94,553,56266,26463,85,74,755,-5,34,2,20,24,80,0,149,1,22,0.373626373626374,0.021978021978022,0.21978021978022,0.25531914893617,0.851063829787234,0,2.01351351351351,0.0135135135135135,0.297297297297297
689,42119,21393,91,87,640,39903,20252,94,79,621,40713,20030,80,80,621,-3,451,0,38,40,383,37,53,3,36,5.18390804597701,0,0.436781609195402,0.506329113924051,4.84810126582278,0.468354430379747,0.6625,0.0375,0.45
690,121621,33974,89,89,437,19987,9828,95,64,339,42290,17669,83,81,462,-6,518,0,663,122,723,0,2035,0,72,5.82022471910112,0,7.44943820224719,1.90625,11.296875,0,25.1234567901235,0,0.888888888888889
691,61875,26698,91,91,582,19977,11398,93,74,506,19574,9408,84,84,620,-2,724,4,265,79,614,1,277,8,95,7.95604395604396,0.043956043956044,2.91208791208791,1.06756756756757,8.2972972972973,0.0135135135135135,3.29761904761905,0.0952380952380952,1.13095238095238
692,20173,8643,58,56,202,111,69,90,3,18,4440,2996,99,64,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
