person_id,raw_visits_w0,visits_u_w0,raw_visits_w1,visits_u_w1,day_range_w1,active_days_w1,count_domains_w1,raw_visits_w2,visits_u_w2,day_range_w2,active_days_w2,count_domains_w2,raw_visits_w3,visits_u_w3,day_range_w3,active_days_w3,count_domains_w3,raw_visits_w4,visits_u_w4,diff_day_range_w1_w2
1,0,0,3545,1799,5,5,156,3276,1674,97,6,193,1393,713,82,3,89,10303,3355,
2,0,0,29052,14879,34,34,635,43972,25085,102,75,1246,56430,26261,82,52,1421,1089,656,-68
3,137390,93546,62215,45453,92,92,696,91299,50987,94,94,839,47912,41535,84,84,736,5798,5020,-2
4,0,0,15175,9674,90,82,798,1166,576,58,15,119,6329,2891,79,30,253,893,363,32
5,0,0,19783,11090,89,68,483,30364,17794,89,84,480,27828,16540,85,85,486,4155,2388,0
6,0,0,14023,7840,32,22,324,16222,9002,98,58,501,54,32,1,1,8,20,17,-66
7,65620,55931,0,0,0,0,0,222584,53826,96,96,1013,21,20,1,1,7,0,0,
8,0,0,7999,4033,90,46,210,11594,6259,62,58,335,8200,3297,79,22,192,76,46,28
9,0,0,110,44,35,11,20,3286,1788,95,20,112,23,18,1,1,10,0,0,-60
10,0,0,101704,47498,91,91,1036,90026,40600,103,88,729,15605,6994,25,25,157,0,0,-12
11,0,0,8169,3621,32,16,244,62261,24205,91,68,1124,21560,7851,89,10,344,18300,8557,-59
12,0,0,23343,12840,38,26,484,28349,15809,92,82,551,57926,29437,82,80,539,6007,2970,-54
13,0,0,23882,12944,90,84,458,25815,14125,99,90,555,15475,9425,89,81,380,753,476,-9
14,0,0,90142,44912,90,88,1034,111381,60920,95,92,1351,102286,48762,83,83,765,11318,5628,-5
15,0,0,5590,3233,50,39,257,6190,2987,95,34,204,10072,6073,81,59,281,2928,908,-45
16,0,0,16946,12027,90,76,320,24375,17436,90,80,532,17360,10987,82,72,515,105,64,0
17,0,0,6281,3177,91,89,265,7762,3682,71,64,255,9968,5482,80,79,297,6,5,20
18,0,0,3756,2531,29,29,147,17879,10892,61,58,481,24281,11274,92,88,326,3351,1988,-32
19,7131,5546,0,0,0,0,0,31433,23290,94,70,432,5252,4391,82,64,220,526,433,
