domain,wilson,wilson_cat
journalinquirer.com,0.3605,Right
journalpatriot.com,,
punxsutawneyspirit.com,,
newstrib.com,,
kark.com,,
koaa.com,0.3404,Right
ktul.com,0.4381,Right
wbko.com,0.3727,Right
wltx.com,0.1632,Right
sfweekly.com,-0.5057,Left
alibi.com,-0.4655,Left
columbian.com,-0.2822,Left
newsroom.ucla.edu,-0.2101,Left
dnaindia.com,-0.1687,Center
couriermail.com.au,-0.0787,Center
ohio.com,-0.0189,Center
newspressnow.com,0.203,Right
otmj.com,,
northwestgeorgianews.com,,
swtimes.com,,
tricornernews.com,,
mrc.org,,
tribtoday.com,,
fox16.com,,
kxxv.com,,
record-courier.com,,
wect.com,0.3209,Right
wtva.com,,
sourcewatch.org,-0.8738,Left
lemonde.fr,-0.5317,Left
dailycamera.com,-0.3862,Left
jewishjournal.com,-0.2029,Left
business-standard.com,-0.1273,Center
chinadaily.com.cn,-0.0837,Center
fosters.com,0.0482,Center
redding.com,0.1458,Right
poconorecord.com,0.2132,Right
gazettextra.com,0.2856,Right
news-journalonline.com,0.3095,Right
chicoer.com,,
candgnews.com,,
swnewsmedia.com,,
marionstar.com,,
goskagit.com,,
daily-journal.com,,
fox10tv.com,0.5697,Right
khq.com,0.3451,Right
krcrtv.com,-0.0139,Center
ksbw.com,-0.0217,Center
ktsm.com,,
milenio.com,,
lowellsun.com,-0.0426,Center
timesfreepress.com,-0.0026,Center
journal-news.com,0.0948,Right
rapidcityjournal.com,0.2475,Right
news-herald.com,0.3225,Right
yorknewstimes.com,0.6552,Right
alamosanews.com,,
capegazette.com,,
pdclarion.com,,
cassville-democrat.com,,
columbusalive.com,,
visaliatimesdelta.com,,
selmatimesjournal.com,,
antena3.com,-0.1923,Center
kesq.com,0.1353,Right
ksfy.com,0.4237,Right
ktbs.com,0.36,Right
theconservativetreehouse.com,0.8907,Right
wrex.com,,
inthesetimes.com,-0.7717,Left
prospect.org,-0.7318,Left
publicintegrity.org,-0.3638,Left
tauntongazette.com,-0.2459,Left
collegemagazine.com,-0.056,Center
adelaidenow.com.au,-0.0409,Center
sunnyskyz.com,0.0206,Center
nrtoday.com,0.0254,Center
niagara-gazette.com,0.1133,Right
southbendtribune.com,0.1353,Right
mdjonline.com,0.2428,Right
madworldnews.com,0.8051,Right
frontpagemag.com,0.8359,Right
stream.org,0.8676,Right
times-standard.com,,
thecitizen.com,,
mansfieldnewsjournal.com,,
kdlt.com,0.4655,Right
kmph.com,,
wwaytv3.com,0.4484,Right
rsf.org,-0.5034,Left
mainichi.jp,-0.4552,Left
macleans.ca,-0.3833,Left
publicpolicypolling.com,-0.3491,Left
oneidadispatch.com,-0.2601,Left
sj-r.com,-0.2453,Left
vancouversun.com,-0.1695,Center
thescottishsun.co.uk,-0.0443,Center
auburnpub.com,-0.0307,Center
ibj.com,0.1099,Right
prweb.com,0.1293,Right
oleantimesherald.com,0.1677,Right
theintelligencer.net,0.2689,Right
jacksonsun.com,0.4223,Right
hutchnews.com,0.6133,Right
crtv.com,0.9339,Right
hpenews.com,,
grandlakenews.com,,
mercedsunstar.com,,
monroenews.com,,
sharonherald.com,,
blufftontoday.com,,
villagesoup.com,,
shelbycountyreporter.com,,
mihomepaper.com,,
abc-7.com,0.4118,Right
cbs46.com,0.2506,Right
kplctv.com,0.5041,Right
attn.com,-0.6387,Left
thedp.com,-0.5556,Left
dailyprogress.com,-0.3991,Left
missoulian.com,-0.3516,Left
newsreview.com,-0.272,Left
wsws.org,-0.1834,Center
vcstar.com,-0.0749,Center
nwaonline.com,-0.0476,Center
theday.com,-0.0263,Center
newburyportnews.com,0.1527,Right
caller.com,0.2322,Right
theledger.com,0.3499,Right
thedailynewsonline.com,0.4566,Right
thenewsenterprise.com,0.4726,Right
hmbreview.com,,
ifallsjournal.com,,
norwalkreflector.com,,
westmilfordmessenger.com,,
independentmail.com,,
mymalonetelegram.com,,
thepostsearchlight.com,,
13wmaz.com,0.059,Center
wktv.com,0.2591,Right
wtap.com,,
thevillager.com,-0.7859,Left
theage.com.au,-0.3447,Left
bismarcktribune.com,-0.2806,Left
ledger-enquirer.com,-0.199,Center
mintpressnews.com,-0.1743,Center
newindianexpress.com,-0.0819,Center
azcapitoltimes.com,-0.0592,Center
times-news.com,-0.02,Center
pottsmerc.com,0.0824,Center
kitsapsun.com,0.1944,Right
cumberlink.com,0.2777,Right
newsadvance.com,0.3471,Right
marinecorpstimes.com,0.409,Right
newsherald.com,0.5541,Right
firstthings.com,0.6961,Right
billoreilly.com,0.9113,Right
baxterbulletin.com,,
oconeeenterprise.com,,
pal-item.com,,
miningjournal.net,,
newstribune.com,,
cedarrepublican.com,,
manchestertimes.com,,
newportplaintalk.com,,
courieranywhere.com,,
nvdaily.com,,
wdtimes.com,,
pressenterpriseonline.com,,
times-gazette.com,,
thecourierexpress.com,,
davisclipper.com,,
cheddar.com,-0.1446,Center
krem.com,0.081,Center
kttc.com,,
pressandjournal.co.uk,,
week.com,,
themarshallproject.org,-0.7337,Left
washingtonmonthly.com,-0.6629,Left
vnews.com,-0.3858,Left
mainebiz.biz,-0.2073,Left
fredericksburg.com,-0.1827,Center
centraljersey.com,-0.1506,Center
bellinghamherald.com,-0.0871,Center
liherald.com,-0.084,Center
seacoastonline.com,-0.0714,Center
sgvtribune.com,-0.0625,Center
gjsentinel.com,-0.0419,Center
repubblica.it,-0.0197,Center
flkeysnews.com,-0.0106,Center
timesleader.com,0.0405,Center
buckscountycouriertimes.com,0.1298,Right
greenbaypressgazette.com,0.1576,Right
newswire.com,0.225,Right
wcfcourier.com,0.2743,Right
nwfdailynews.com,0.5121,Right
goshennews.com,,
carycitizen.com,,
morganton.com,,
claremoreprogress.com,,
spartalive.com,,
kdhnews.com,,
yourstephenvilletx.com,,
dothaneagle.com,,
riverreporter.com,,
macombdaily.com,,
mankatofreepress.com,,
eastidahonews.com,0.646,Right
roguerocket.com,,
smartnews.com,0.0467,Center
wach.com,,
sacurrent.com,-0.7248,Left
yaledailynews.com,-0.5554,Left
dailycal.org,-0.3892,Left
tucsonweekly.com,-0.268,Left
sevendaysvt.com,-0.2013,Left
concordmonitor.com,-0.1948,Center
deccanchronicle.com,-0.072,Center
recordnet.com,0.0859,Center
heraldonline.com,0.0988,Right
consortiumnews.com,0.1885,Right
journaltimes.com,0.1937,Right
yorkdispatch.com,0.1967,Right
creators.com,0.255,Right
eveningsun.com,0.341,Right
dcourier.com,0.3942,Right
gazettes.com,,
theridgefieldpress.com,,
postregister.com,,
bellevueheraldleader.com,,
hollandsentinel.com,,
presspubs.com,,
theleafchronicle.com,,
tullahomanews.com,,
bladenjournal.com,,
thetandd.com,,
gosanangelo.com,,
vvdailypress.com,,
leavenworthtimes.com,,
kten.com,,
ktvz.com,0.0835,Center
ktxs.com,,
newsy.com,0.0144,Center
wnyt.com,0.0305,Center
therealnews.com,-0.7059,Left
niemanlab.org,-0.6013,Left
dailytexanonline.com,-0.3615,Left
santafenewmexican.com,-0.3513,Left
artvoice.com,-0.25,Left
thedrum.com,-0.2465,Left
theeagle.com,-0.0928,Center
bozemandailychronicle.com,-0.0883,Center
pamplinmedia.com,-0.0585,Center
chattanoogan.com,0.045,Center
democratherald.com,0.057,Center
theintell.com,0.0599,Center
alligator.org,0.092,Right
vaildaily.com,0.1017,Right
theworldlink.com,0.1256,Right
postbulletin.com,0.1734,Right
newjerseyhills.com,0.179,Right
dailybulletin.com,0.1866,Right
courier-tribune.com,0.2197,Right
timeswv.com,0.247,Right
independenttribune.com,0.4468,Right
the-dispatch.com,0.4512,Right
nysun.com,0.5494,Right
crisismagazine.com,0.872,Right
aim.org,0.8851,Right
sdcitybeat.com,,
suwanneedemocrat.com,,
dnews.com,,
thebraziltimes.com,,
hometownlife.com,,
clarecountyreview.com,,
themorningsun.com,,
springfieldnewssun.com,,
zanesvilletimesrecorder.com,,
dailyrepublic.com,,
brainerddispatch.com,,
donaldsonvillechief.com,,
fox47news.com,,
ktre.com,,
lanacion.com.ar,-0.2291,Left
wane.com,0.1797,Right
progressive.org,-0.8814,Left
thebaffler.com,-0.7773,Left
revealnews.org,-0.6576,Left
pghcitypaper.com,-0.635,Left
straight.com,-0.5679,Left
gazettenet.com,-0.5306,Left
thenews.com.pk,-0.456,Left
laopinion.com,-0.4552,Left
crainsnewyork.com,-0.4086,Left
project-syndicate.org,-0.4049,Left
leadertelegram.com,-0.2525,Left
bendbulletin.com,-0.1403,Center
thesunchronicle.com,-0.075,Center
dailyjournal.net,0.0246,Center
tri-cityherald.com,0.045,Center
thedailyjournal.com,0.0551,Center
kentuckynewera.com,0.1049,Right
newarkpostonline.com,0.1144,Right
indianagazette.com,0.1641,Right
capemaycountyherald.com,0.1802,Right
houmatoday.com,0.1836,Right
lubbockonline.com,0.2126,Right
somdnews.com,0.2132,Right
amestrib.com,0.2889,Right
eastvalleytribune.com,0.3395,Right
jaxdailyrecord.com,0.424,Right
starherald.com,0.4627,Right
robesonian.com,0.5139,Right
madriverunion.com,,
pasadenanow.com,,
ladowntownnews.com,,
mtdemocrat.com,,
keysnews.com,,
mauinews.com,,
thetimesweekly.com,,
carrollcountycomet.com,,
ironmountaindailynews.com,,
chroniclet.com,,
northwestsignal.net,,
herald-citizen.com,,
advocateanddemocrat.com,,
richfieldreaper.com,,
hngnews.com,,
wausaudailyherald.com,,
globalissues.org,,
insidenova.com,,
enewscourier.com,,
thehawkeye.com,,
lucianne.com,,
thepamliconews.com,,
scnow.com,,
rheaheraldnews.com,,
i24news.tv,0.0719,Center
kadn.com,,
jacksonfreepress.com,-0.8329,Left
opendemocracy.net,-0.6732,Left
seattleweekly.com,-0.6142,Left
newhavenindependent.org,-0.5474,Left
brooklyneagle.com,-0.5115,Left
asahi.com,-0.4076,Left
memphisflyer.com,-0.3911,Left
galvnews.com,-0.3651,Left
vineyardgazette.com,-0.3615,Left
summitdaily.com,-0.3456,Left
independent.com,-0.3052,Left
dailyfreeman.com,-0.2551,Left
mid-day.com,-0.2486,Left
gazettetimes.com,-0.2168,Left
aspentimes.com,-0.1952,Center
guardianlv.com,-0.179,Center
gloucestertimes.com,-0.0564,Center
midhudsonnews.com,-0.0026,Center
journalgazette.net,0.0015,Center
greatfallstribune.com,0.0387,Center
lasvegasweekly.com,0.0395,Center
theprovince.com,0.0963,Right
dailyrecord.com,0.2389,Right
gastongazette.com,0.2891,Right
businessreport.com,0.4646,Right
standard.net,0.4708,Right
businessobserverfl.com,0.628,Right
canadafreepress.com,0.8944,Right
syvnews.com,,
srpmic-nsn.gov,,
iecn.com,,
yoursun.com,,
gwinnettdailypost.com,,
pikecountygeorgia.com,,
civilbeat.org,,
clintonherald.com,,
thetimesherald.com,,
hastingsstargazette.com,,
4bcaonline.com,,
sent-trib.com,,
thenews-messenger.com,,
augustafreepress.com,,
methowvalleynews.com,,
marshfieldnewsherald.com,,
gmtoday.com,,
thenewsherald.com,,
conwaydailysun.com,,
wellsvilledaily.com,,
wnewsj.com,,
njeffersonnews.com,,
bastropenterprise.com,,
heraldbulletin.com,,
tdn.com,,
maconcountytimes.com,,
ansa.it,-0.0985,Center
fourstateshomepage.com,,
kyma.com,,
newsnet5.com,0.1561,Right
telemundo51.com,,
wxow.com,,
abclocal.go.com,-0.001,Center
dotnews.com,-0.7934,Left
sfbayview.com,-0.7262,Left
eugeneweekly.com,-0.7197,Left
fair.org,-0.6554,Left
qchron.com,-0.5258,Left
nashvillescene.com,-0.3931,Left
thecharlottepost.com,-0.3357,Left
burlingtonfreepress.com,-0.334,Left
ithacajournal.com,-0.3251,Left
newswise.com,-0.3074,Left
durangoherald.com,-0.1143,Center
financialexpress.com,-0.1017,Center
27east.com,-0.0899,Center
sentinelsource.com,-0.0849,Center
timescall.com,-0.0774,Center
middletownpress.com,-0.0745,Center
crainsdetroit.com,-0.0461,Center
chieftain.com,0.005,Center
registercitizen.com,0.0268,Center
ncnewsonline.com,0.0974,Right
saratogian.com,0.198,Right
gantdaily.com,0.225,Right
magicvalley.com,0.254,Right
njherald.com,0.2805,Right
sungazette.com,0.2819,Right
hastingstribune.com,0.4223,Right
amarillo.com,0.4287,Right
newsandsentinel.com,0.4614,Right
columbustelegram.com,0.5139,Right
winchesterstar.com,,
news-journal.com,,
nogalesinternational.com,,
lodinews.com,,
trumbulltimes.com,,
journal-topics.com,,
jg-tc.com,,
journal-republican.com,,
whig.com,,
akronhometowner.com,,
freemanjournal.net,,
paintsvilleherald.com,,
eunicetoday.com,,
timesrecord.com,,
bellevilleareaindependent.com,,
grbj.com,,
crowrivermedia.com,,
virginiamn.com,,
houstonherald.com,,
hcpress.com,,
clintonnc.com,,
yesweekly.com,,
rockymounttelegram.com,,
lancastereaglegazette.com,,
tillamookheadlightherald.com,,
theprogressnews.com,,
thepublicopinion.com,,
overtoncountynews.com,,
ntxe-news.com,,
reformer.com,,
dansvilleonline.com,,
laurinburgexchange.com,,
oakridger.com,,
brownsvilleherald.com,,
mrt.com,,
meridianstar.com,,
eveningtribune.com,,
demopolistimes.com,,
taftmidwaydriller.com,,
thekansan.com,,
mcalesternews.com,,
abc45.com,,
elespectador.com,-0.3703,Left
keyt.com,,
kjct8.com,,
kswo.com,0.4484,Right
nbc10.com,,
wtvq.com,0.1737,Right
wvva.com,0.2466,Right
colorlines.com,-0.8871,Left
gothamgazette.com,-0.7524,Left
recorder.com,-0.4388,Left
capenews.net,-0.4094,Left
khaleejtimes.com,-0.2845,Left
charlestoncitypaper.com,-0.2073,Left
mtstandard.com,-0.1776,Center
fltimes.com,-0.1654,Center
noozhawk.com,-0.1284,Center
edmontonjournal.com,-0.104,Center
calgaryherald.com,-0.0708,Center
thehindubusinessline.com,-0.0209,Center
hartfordbusiness.com,0.0009,Center
thedailystar.com,0.0134,Center
dailygazette.com,0.0368,Center
dailycomet.com,0.045,Center
njbiz.com,0.1044,Right
eastoregonian.com,0.1076,Right
capitalpress.com,0.1113,Right
register-herald.com,0.1274,Right
dukechronicle.com,0.1741,Right
calgarysun.com,0.2658,Right
reporterherald.com,0.2672,Right
shelbystar.com,0.3621,Right
salina.com,0.5187,Right
edmondsun.com,0.58,Right
cdapress.com,0.6114,Right
newtimesslo.com,,
avenuenews.com,,
rdrnews.com,,
thecallnews.com,,
frontiersman.com,,
grandcanyonnews.com,,
desertnews.com,,
pleasantonweekly.com,,
smmirror.com,,
northfulton.com,,
rvpnews.com,,
heraldargus.com,,
salemleader.com,,
maqnews.com,,
wintersetmadisonian.com,,
thetimestribune.com,,
bridgton.com,,
hillsdale.net,,
wctrib.com,,
msbusiness.com,,
auroraadvertiser.net,,
monett-times.com,,
indexnewspaper.com,,
yourdailyjournal.com,,
thedigitalcourier.com,,
westbendnews.net,,
kentontimes.com,,
miamiok.com,,
standard-journal.com,,
free-times.com,,
reporternews.com,,
thefacts.com,,
portlavacawave.com,,
tdtnews.com,,
timesargus.com,,
benningtonbanner.com,,
southwhidbeyrecord.com,,
chinookobserver.com,,
powelltribune.com,,
americanbazaaronline.com,,
chicagomaroon.com,,
sandmountainreporter.com,,
times-journal.com,,
appeal-democrat.com,,
fontanaheraldnews.com,,
myvalleynews.com,,
ukiahdailyjournal.com,,
ourmidland.com,,
gouverneurtribunepress.com,,
timesreporter.com,,
therecordherald.com,,
kokomoperspective.com,,
citizentribune.com,,
advocatepress.com,,
messagemedia.com,,
neagle.com,,
baycitytribune.com,,
fox43tv.com,,
hotnews.ro,,
kmiz.com,,
kotatv.com,0.1353,Right
kq2.com,,
kulr8.com,,
nbc16.com,-0.3385,Left
nbc24.com,,
vpr.org,,
waow.com,,
wdam.com,0.1866,Right
wicz.com,0.0948,Right
wkowtv.com,,
wlfi.com,,
wsav.com,0.0089,Center
wvah.com,,
dissentmagazine.org,-0.857,Left
msmagazine.com,-0.8201,Left
philadelphiaweekly.com,-0.5648,Left
worldpressphoto.org,-0.5482,Left
telegraphindia.com,-0.5449,Left
cornellsun.com,-0.5338,Left
hudsonreporter.com,-0.5057,Left
news.berkeley.edu,-0.4855,Left
michigandaily.com,-0.4827,Left
journalism.org,-0.381,Left
westport-news.com,-0.2585,Left
miamitimesonline.com,-0.25,Left
flatheadbeacon.com,-0.2401,Left
thedailyrecord.com,-0.2061,Left
brooklynreporter.com,-0.2004,Left
winnipegfreepress.com,-0.1939,Center
canberratimes.com.au,-0.1877,Center
newswire.ca,-0.1763,Center
taosnews.com,-0.1751,Center
afr.com,-0.1531,Center
newsminer.com,-0.1174,Center
njtoday.net,-0.1107,Center
cityweekly.net,-0.0958,Center
patriotledger.com,-0.0867,Center
pressrepublican.com,-0.0708,Center
sentinelandenterprise.com,-0.0686,Center
longislandpress.com,-0.0461,Center
milforddailynews.com,-0.0005,Center
nhbr.com,0.0015,Center
stargazette.com,0.018,Center
daily-times.com,0.045,Center
enterprisenews.com,0.0559,Center
therepublic.com,0.0761,Center
dailyindependent.com,0.0761,Center
libn.com,0.0951,Right
norwichbulletin.com,0.1192,Right
timesonline.com,0.1328,Right
observer-reporter.com,0.1999,Right
timescolonist.com,0.2173,Right
mpnnow.com,0.2295,Right
meadvilletribune.com,0.2851,Right
neworleanscitybusiness.com,0.3105,Right
normantranscript.com,0.3523,Right
bgdailynews.com,0.3749,Right
aberdeennews.com,0.4177,Right
stwnewspress.com,0.4391,Right
yourobserver.com,0.4942,Right
enidnews.com,0.5259,Right
fremonttribune.com,0.6413,Right
gettysburgtimes.com,,
timestelegram.com,,
thegardenisland.com,,
oaoa.com,,
birminghamtimes.com,,
thearcticsounder.com,,
ajnews.com,,
bentoncourier.com,,
whittierdailynews.com,,
gilroydispatch.com,,
highlandnews.net,,
metnews.com,,
malibutimes.com,,
montereycountyweekly.com,,
paradisepost.com,,
ridgecrestca.com,,
smdailyjournal.com,,
signalscv.com,,
santamariasun.com,,
santamariatimes.com,,
turlockjournal.com,,
canoncitydailyrecord.com,,
lajuntatribunedemocrat.com,,
lakecityreporter.com,,
pontevedrarecorder.com,,
theatlantavoice.com,,
mundohispanico.com,,
tribuneledgernews.com,,
times-herald.com,,
unionrecorder.com,,
emanuelcountylive.com,,
hawaiitribune-herald.com,,
tetonvalleynews.net,,
theintelligencer.com,,
forestparkreview.com,,
journalstandard.com,,
dailyregister.com,,
myjournalcourier.com,,
rockrivertimes.com,,
thenewsdispatch.com,,
charlescitypress.com,,
monticelloexpress.com,,
linncountynews.net,,
harrodsburgherald.com,,
oldhamera.com,,
smileypete.com,,
americanpress.com,,
dailyworld.com,,
machiasnews.com,,
thereminder.com,,
homenewshere.com,,
michigansthumb.com,,
mibiz.com,,
voicenews.com,,
swcbulletin.com,,
southwestjournal.com,,
pipestonestar.com,,
walkermn.com,,
natchezdemocrat.com,,
oxfordeagle.com,,
starkvilledailynews.com,,
vicksburgpost.com,,
semissourian.com,,
examiner.net,,
thesalemnewsonline.com,,
phtimes.net,,
webstercountycitizen.com,,
dailystarjournal.com,,
beatricedailysun.com,,
towntopics.com,,
ruidosonews.com,,
greatneckrecord.com,,
suncommunitynews.com,,
mpcourier.com,,
norwoodnews.org,,
mountolivetribune.com,,
wschronicle.com,,
jamestownsun.com,,
westfargopioneer.com,,
thecourier.com,,
dailyadvocate.com,,
limaohio.com,,
theeveningleader.com,,
sanduskyregister.com,,
thevillagereporter.com,,
the-daily-record.com,,
buckscountyherald.com,,
phoenixvillenews.com,,
elkvalleytimes.com,,
johnsoncitypress.com,,
heraldandtribune.com,,
dnj.com,,
dentonrc.com,,
marshallnewsmessenger.com,,
palestineherald.com,,
heralddemocrat.com,,
waxahachietx.com,,
godanriver.com,,
suffolknewsherald.com,,
columbiabasinherald.com,,
ptleader.com,,
newstribune.info,,
rivertowns.net,,
westhawaiitoday.com,,
greensburgdailynews.com,,
enterprisepub.com,,
dailyjournalonline.com,,
oswegocountynewsnow.com,,
oswegocountytoday.com,,
blackwelljournaltribune.net,,
salem-news.com,,
bradfordera.com,,
progress-index.com,,
smdp.com,,
toacorn.com,,
broomfieldenterprise.com,,
doverpost.com,,
aroundosceola.com,,
carmitimes.com,,
teutopolispress.com,,
sjnewsonline.com,,
middlesborodailynews.com,,
montenews.com,,
timesreview.com,,
news-shield.com,,
siasat.com,,
abc6.com,-0.032,Center
kolotv.com,0.2383,Right
nbc5.com,,
wxxv25.com,,
tytnetwork.com,-0.9189,Left
chicagoreporter.com,-0.8419,Left
bostonreview.net,-0.8007,Left
citypaper.com,-0.752,Left
stlamerican.com,-0.7399,Left
truth-out.org,-0.7375,Left
sfreporter.com,-0.6463,Left
thedailybanter.com,-0.6255,Left
eastbayexpress.com,-0.5776,Left
lasentinel.net,-0.5403,Left
riverdalepress.com,-0.5237,Left
pbn.com,-0.4213,Left
atlantadailyworld.com,-0.3911,Left
clclt.com,-0.3812,Left
palmbeachdailynews.com,-0.3543,Left
navajotimes.com,-0.3231,Left
thedailystar.net,-0.3193,Left
hurriyetdailynews.com,-0.2996,Left
ithaca.com,-0.2775,Left
paloaltoonline.com,-0.2732,Left
dailybruin.com,-0.267,Left
stanforddaily.com,-0.2425,Left
nuvo.net,-0.2073,Left
ctnow.com,-0.1834,Center
juneauempire.com,-0.1741,Center
westfaironline.com,-0.1626,Center
montgomerynews.com,-0.1564,Center
thetimesnews.com,-0.1148,Center
mainlinemedianews.com,-0.0893,Center
state-journal.com,-0.0621,Center
pasadenastarnews.com,-0.0476,Center
thechronicleherald.ca,-0.0381,Center
einnews.com,-0.0241,Center
armenianweekly.com,-0.0196,Center
theislandnow.com,-0.0181,Center
thewesterlysun.com,-0.0077,Center
csindy.com,0.0201,Center
burlingtoncountytimes.com,0.045,Center
stardem.com,0.0735,Center
delawarestatenews.net,0.0786,Center
thedaonline.com,0.0786,Center
timesherald.com,0.0859,Center
heraldstandard.com,0.1172,Right
themonitor.com,0.1228,Right
thereporteronline.com,0.1298,Right
tahlequahdailypress.com,0.1322,Right
myrecordjournal.com,0.1408,Right
thedickinsonpress.com,0.1744,Right
rbj.net,0.1757,Right
rep-am.com,0.2101,Right
nashuatelegraph.com,0.2708,Right
statesville.com,0.2761,Right
emporiagazette.com,0.3673,Right
thepilot.com,0.3727,Right
dailycommercial.com,0.3996,Right
wyomingnews.com,0.4074,Right
idahobusinessreview.com,0.4086,Right
rcnky.com,0.4172,Right
havasunews.com,0.5122,Right
gctelegram.com,0.5441,Right
intellihub.com,0.6338,Right
nptelegraph.com,0.678,Right
projectveritasaction.com,0.8976,Right
kdminer.com,,
claremont-courier.com,,
hanfordsentinel.com,,
timesheraldonline.com,,
newsitem.com,,
victoriaadvocate.com,,
shepherdexpress.com,,
brewtonstandard.com,,
clantonadvertiser.com,,
cullmantimes.com,,
gadsdenmessenger.com,,
lagniappemobile.com,,
newsaegis.com,,
anchoragepress.com,,
cvbugle.com,,
verdenews.com,,
silverbelt.com,,
gvnews.com,,
eacourier.com,,
wmicentral.com,,
willcoxrangenews.com,,
carrollconews.com,,
boonevilledemocrat.com,,
thepress.net,,
theava.com,,
thecamarilloacorn.com,,
cerescourier.com,,
maderatribune.com,,
davisenterprise.com,,
thevalleychronicle.com,,
rafu.com,,
eccalifornian.com,,
pasoroblesdailynews.com,,
heraldpublications.com,,
redwoodtimes.com,,
theunion.com,,
lagunabeachindy.com,,
mountain-news.com,,
kernvalleysun.com,,
independentnews.com,,
argonautnews.com,,
mercedcountytimes.net,,
orovillemr.com,,
ranchosantafereview.com,,
sandiego.com,,
sdvoice.info,,
goodtimes.sc,,
smobserved.com,,
northbaybusinessjournal.com,,
tahoedailytribune.com,,
thetahoeweekly.com,,
tahoe.com,,
mpacorn.com,,
hidesertstar.com,,
dailydemocrat.com,,
aspendailynews.com,,
pinerivertimes.com,,
chaffeecountytimes.com,,
fortmorgantimes.com,,
beaconseniornews.com,,
lamarledger.com,,
northfortynews.com,,
leadvilleherald.com,,
montrosepress.com,,
theheraldtimes.com,,
hamlethub.com,,
milfordmirror.com,,
mycitizensnews.com,,
ncadvertiser.com,,
sussexcountian.com,,
middletowntranscript.com,,
thedestinlog.com,,
lehighacrescitizen.com,,
claytodayonline.com,,
inweekly.net,,
mysanfordherald.com,,
reporternewspapers.net,,
theblacksheartimes.com,,
daily-tribune.com,,
madisonjournaltoday.com,,
dodgecountynews.com,,
gainesvilletimes.com,,
coastalcourier.com,,
jacksonprogress-argus.com,,
news-daily.com,,
tribune-georgian.com,,
henryherald.com,,
moultrieobserver.com,,
midweek.com,,
idahocountyfreepress.com,,
freepressnewspapers.com,,
beverlyreview.net,,
chicagocrusader.com,,
chicagodefender.com,,
hpherald.com,,
lawndalenews.com,,
nadignewspapers.com,,
midweeknews.com,,
lincolncourier.com,,
kendallcountynow.com,,
newsexaminer.com,,
hartfordcitynewstimes.com,,
weeklyview.net,,
newsandtribune.com,,
thecouriertimes.com,,
washtimesherald.com,,
flyergroup.com,,
dewittobserver.com,,
dyersvillecommercial.com,,
timesrepublican.com,,
muscatinejournal.com,,
ottumwacourier.com,,
stormlakepilottribune.com,,
stormlake.com,,
iolaregister.com,,
republic-online.com,,
peabodykansas.com,,
tonganoxiemirror.com,,
thenewsjournal.net,,
sentinel-echo.com,,
maysville-online.com,,
westkentuckystar.com,,
salyersvilleindependent.com,,
heraldguide.com,,
beauregarddailynews.net,,
weeklycitizen.com,,
sabinetoday.com,,
press-herald.com,,
iberianet.com,,
rustonleader.com,,
lcnme.com,,
freepressonline.com,,
mdcoastdispatch.com,,
capecodchronicle.com,,
thegardnernews.com,,
leominsterchamp.com,,
heraldpalladium.com,,
tctimes.com,,
sentinel-standard.com,,
rockfordsquire.com,,
thesalinepost.com,,
belleplaineherald.com,,
bemidjipioneer.com,,
westsherburnetribune.com,,
dl-online.com,,
cookcountynews-herald.com,,
herald-journal.com,,
jacksoncountypilot.com,,
marshallindependent.com,,
chisagocountypress.com,,
parkrapidsenterprise.com,,
pineandlakes.com,,
fillmorecountyjournal.com,,
wadenapj.com,,
windomnews.com,,
cdispatch.com,,
gwcommonwealth.com,,
gulflive.com,,
bransontrilakesnews.com,,
buffaloreflex.com,,
dosmundos.com,,
neoshodailynews.com,,
westplainsdailyquill.net,,
ravallirepublic.com,,
sewardindependent.com,,
imperialrepublican.com,,
jewishvoicesnj.org,,
essexnewsdaily.com,,
goleader.com,,
news-bulletin.com,,
hobbsnews.com,,
scdailypress.com,,
ourtownny.com,,
observertoday.com,,
indyeastend.com,,
evesun.com,,
leaderherald.com,,
allotsego.com,,
romesentinel.com,,
saratogatodaynewspaper.com,,
mooresvilletribune.com,,
carolinacoastonline.com,,
mtairynews.com,,
obsentinel.com,,
stateportpilot.com,,
luminanews.com,,
akron.com,,
athensmessenger.com,,
recordherald.com,,
bryantimes.com,,
dailystandard.com,,
chillicothegazette.com,,
morningjournalnews.com,,
morningjournal.com,,
putnamsentinel.com,,
portsmouth-dailytimes.com,,
sidneydailynews.com,,
heraldstaronline.com,,
timesbulletin.com,,
xeniagazette.com,,
thechronicleonline.com,,
hoodrivernews.com,,
lebanon-express.com,,
newportnewstimes.com,,
echo-pilot.com,,
lockhaven.com,,
titusvilleherald.com,,
wcexaminer.com,,
newportri.com,,
eastbayri.com,,
charlestonbusiness.com,,
upstatetoday.com,,
dailypostathenian.com,,
stategazette.com,,
williamsonherald.com,,
wilsonpost.com,,
murfreesboropost.com,,
bowienewsonline.com,,
hillcountrynews.com,,
coveleaderpress.com,,
parkcitiespeople.com,,
fwweekly.com,,
gonzalesinquirer.com,,
heraldbanner.com,,
valleymorningstar.com,,
itemonline.com,,
muleshoejournal.com,,
navasotaexaminer.com,,
weatherforddemocrat.com,,
thecoalfieldprogress.com,,
farmvilleherald.com,,
thecarrollnews.com,,
thecentralvirginian.com,,
martinsvillebulletin.com,,
easternshorepost.com,,
fairfaxtimes.com,,
rappnews.com,,
bainbridgereview.com,,
islandssounder.com,,
