domain,wilson,wilson_cat
wjactv.com,0.4287,Right
wsvn.com,0.0577,Center
elpasotimes.com,-0.3264,Left
smartbrief.com,0.0743,Center
kentucky.com,0.0917,Right
citizensvoice.com,0.2122,Right
fairmontsentinel.com,,
somerset-kentucky.com,,
hcnews.com,,
bcrnews.com,,
whnt.com,0.4625,Right
phoenixnewtimes.com,-0.4061,Left
greenwichtime.com,-0.1122,Center
nbc-2.com,0.3623,Right
wbbjtv.com,,
taskandpurpose.com,-0.0358,Center
pressconnects.com,-0.0097,Center
standardspeaker.com,0.2101,Right
kdka.com,,
staradvertiser.com,0.0743,Center
lacrossetribune.com,0.1215,Right
newsok.com,0.4456,Right
elkharttruth.com,,
mysuburbanlife.com,,
kvoa.com,0.2186,Right
weartv.com,0.5108,Right
thetimes-tribune.com,-0.0402,Center
katv.com,0.1035,Right
abs-cbn.com,,
wave3.com,0.1931,Right
wkrn.com,0.3045,Right
kalb.com,0.4986,Right
cookpolitical.com,-0.3078,Left
spokesman.com,0.0198,Center
wn.com,0.0313,Center
onwardstate.com,0.265,Right
ksn.com,0.5805,Right
wlbt.com,,
wpri.com,-0.1903,Center
wtnh.com,0.1188,Right
universalhub.com,-0.6899,Left
abc10.com,0.1524,Right
ctvnews.ca,-0.0435,Center
theadvertiser.com,0.3796,Right
riverfronttimes.com,-0.4402,Left
citybeat.com,-0.3737,Left
kgw.com,-0.1708,Center
wkrg.com,0.1309,Right
smh.com.au,-0.1802,Center
mcclatchydc.com,-0.1175,Center
palmbeachpost.com,0.0766,Center
macon.com,0.2181,Right
goupstate.com,0.2843,Right
fox43.com,0.4509,Right
ktvu.com,-0.0149,Center
kwqc.com,0.2925,Right
portlandmercury.com,-0.8211,Left
lbpost.com,,
witn.com,0.1935,Right
blacknews.com,-0.6366,Left
dailypress.com,-0.0883,Center
courierpostonline.com,-0.086,Center
heraldcourier.com,0.115,Right
poststar.com,0.2347,Right
theherald-news.com,,
fox8live.com,0.2408,Right
wbay.com,0.2115,Right
wfxg.com,,
woodtv.com,0.2122,Right
blavity.com,-0.8179,Left
thehindu.com,-0.334,Left
tuscaloosanews.com,0.3539,Right
12news.com,0.1167,Right
kxan.com,0.0761,Center
whsv.com,0.0343,Center
wlky.com,0.2107,Right
recordonline.com,-0.0162,Center
napavalleyregister.com,0.1744,Right
nebraska.tv,0.6493,Right
wsoctv.com,0.3071,Right
isthmus.com,-0.7832,Left
jacksonville.com,0.3326,Right
hickoryrecord.com,0.3964,Right
thetelegraph.com,,
chronicleonline.com,,
katc.com,0.4374,Right
krqe.com,0.0332,Center
wivb.com,0.0877,Center
ctpost.com,-0.0683,Center
jconline.com,0.091,Right
smokymountainnews.com,,
rrstar.com,,
whdh.com,-0.0981,Center
wsls.com,-0.0205,Center
rutlandherald.com,-0.1776,Center
joplinglobe.com,0.3463,Right
tnonline.com,,
ktnv.com,0.1886,Right
mediamatters.org,-0.7221,Left
metro.us,-0.402,Left
foreignaffairs.com,-0.3666,Left
montgomeryadvertiser.com,-0.1615,Center
thenewstribune.com,-0.0753,Center
conservativereview.com,0.9036,Right
theitem.com,,
northcoastjournal.com,,
lansingstatejournal.com,0.0795,Center
republicanherald.com,0.2475,Right
thestarpress.com,0.2668,Right
ldnews.com,0.4414,Right
wahpetondailynews.com,,
wboy.com,0.1722,Right
wchstv.com,0.15,Right
governing.com,-0.2802,Left
desertsun.com,-0.1163,Center
heraldsun.com.au,0.2707,Right
staugustine.com,0.361,Right
spiked-online.com,0.3727,Right
therightscoop.com,0.8978,Right
sanclementetimes.com,,
parispi.net,,
grandhaventribune.com,,
fox61.com,0.1758,Right
wng.org,,
wweek.com,-0.6215,Left
psmag.com,-0.5787,Left
counterpunch.org,-0.338,Left
tallahassee.com,0.179,Right
idahostatejournal.com,0.4792,Right
auroranewsregister.com,,
htrnews.com,,
laweekly.com,-0.4391,Left
newsleader.com,-0.0708,Center
toledoblade.com,-0.0608,Center
cecildaily.com,0.1744,Right
kansas.com,0.4304,Right
