"person_id","visits_raw_w1","visits_u_w1","day_range_w1","active_days_w1","count_domains_w1","visits_raw_w2","visits_u_w2","day_range_w2","active_days_w2","count_domains_w2","domain_center_w1","domain_right_w1","domain_left_w1","domain_center_w2","domain_left_w2","domain_right_w2","domain_center_mean_w1","domain_right_mean_w1","domain_left_mean_w1","domain_center_mean_w2","domain_left_mean_w2","domain_right_mean_w2"
5378,16543,10791,83,83,472,13997,9087,88,88,331,238,0,21,244,16,2,2.86746987951807,0,0.253012048192771,2.77272727272727,0.181818181818182,0.0227272727272727
5382,29897,21475,92,92,571,3190,2384,104,16,90,25,0,6,7,0,0,0.271739130434783,0,0.0652173913043478,0.4375,0,0
5385,5742,4967,90,40,331,3649,2774,21,21,185,83,0,19,89,1,0,2.075,0,0.475,4.23809523809524,0.0476190476190476,0
5391,116,87,2,2,10,28925,22091,91,91,279,20,0,0,1393,347,0,10,0,0,15.3076923076923,3.81318681318681,0
5395,13934,5651,90,73,325,47564,23765,89,89,675,14,2,6,73,13,5,0.191780821917808,0.0273972602739726,0.0821917808219178,0.820224719101124,0.146067415730337,0.0561797752808989
5397,3652,2672,81,39,107,10921,6988,89,85,242,157,0,26,436,32,0,4.02564102564103,0,0.666666666666667,5.12941176470588,0.376470588235294,0
5400,27,6,7,4,2,1933,736,6,3,81,4,0,0,10,0,0,1,0,0,3.33333333333333,0,0
5402,12913,8933,92,63,353,17072,11043,90,74,388,71,0,18,76,23,0,1.12698412698413,0,0.285714285714286,1.02702702702703,0.310810810810811,0
5404,4965,2471,25,15,169,5446,2755,76,30,156,306,4,208,417,189,4,20.4,0.266666666666667,13.8666666666667,13.9,6.3,0.133333333333333
5406,4668,3233,24,20,176,20956,15810,88,83,477,98,0,1,374,21,1,4.9,0,0.05,4.50602409638554,0.253012048192771,0.0120481927710843
5408,9100,7698,55,45,205,25060,19261,35,33,465,30,0,0,48,3,0,0.666666666666667,0,0,1.45454545454545,0.0909090909090909,0
5409,197,141,1,1,16,9975,6970,82,49,293,2,0,0,64,77,1,2,0,0,1.30612244897959,1.57142857142857,0.0204081632653061
5412,10564,6647,91,66,253,23620,12903,101,89,420,36,0,5,12,4,0,0.545454545454545,0,0.0757575757575758,0.134831460674157,0.0449438202247191,0
5414,881,522,24,6,67,493,297,17,7,28,96,0,0,50,0,0,16,0,0,7.14285714285714,0,0
5415,69,46,3,3,28,25981,19662,91,86,781,8,0,0,254,7,0,2.66666666666667,0,0,2.95348837209302,0.0813953488372093,0
5417,149,124,1,1,26,2606,2243,118,24,230,1,0,0,4,1,0,1,0,0,0.166666666666667,0.0416666666666667,0
5421,12985,10263,91,88,265,23877,18804,121,120,456,307,0,11,435,87,0,3.48863636363636,0,0.125,3.625,0.725,0
5423,2444,1513,90,46,71,3161,2071,90,43,151,0,0,0,0,0,0,0,0,0,0,0,0
5424,4099,2491,36,8,143,13545,9664,89,20,300,151,43,45,504,62,53,18.875,5.375,5.625,25.2,3.1,2.65
5425,8127,4622,88,29,177,26366,14160,118,101,330,85,0,0,88,1,0,2.93103448275862,0,0,0.871287128712871,0.0099009900990099,0
5428,9987,7442,91,89,259,11460,5120,28,28,235,114,2,39,84,36,0,1.28089887640449,0.0224719101123595,0.438202247191011,3,1.28571428571429,0
5429,2778,909,91,89,67,12855,8833,95,95,377,0,0,0,0,0,0,0,0,0,0,0,0
5431,1125,1004,16,6,108,116,107,49,2,6,0,0,0,0,0,0,0,0,0,0,0,0
5432,2,2,1,1,2,81,72,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
5436,1394,1100,49,19,67,1146,925,84,8,71,0,0,0,0,0,0,0,0,0,0,0,0
5437,9679,5349,42,42,321,14999,7804,77,77,316,25,0,4,5,2,0,0.595238095238095,0,0.0952380952380952,0.0649350649350649,0.025974025974026,0
5441,1744,1669,5,5,76,971,931,114,5,62,2,0,0,0,1,0,0.4,0,0,0,0.2,0
5447,4695,3868,57,25,88,20619,12397,91,81,262,0,0,2,199,7,0,0,0,0.08,2.45679012345679,0.0864197530864197,0
5448,81201,41546,91,82,778,112442,50662,91,91,833,249,5,46,229,22,1,3.03658536585366,0.0609756097560976,0.560975609756098,2.51648351648352,0.241758241758242,0.010989010989011
5451,1051,843,53,19,51,379,166,15,10,26,7,0,0,46,0,0,0.368421052631579,0,0,4.6,0,0
5457,2451,2184,91,51,145,3691,3325,157,86,243,9,1,48,29,65,0,0.176470588235294,0.0196078431372549,0.941176470588235,0.337209302325581,0.755813953488372,0
5458,2841,1826,92,24,119,40037,19495,133,133,590,1,0,0,37,40,2,0.0416666666666667,0,0,0.278195488721804,0.300751879699248,0.0150375939849624
5459,777,631,21,12,65,5492,4262,100,50,226,17,0,3,60,10,1,1.41666666666667,0,0.25,1.2,0.2,0.02
5460,12301,8277,92,22,240,4080,2649,90,9,151,0,0,10,9,0,0,0,0,0.454545454545455,1,0,0
5462,19614,10032,91,53,323,9730,4962,94,49,309,204,25,27,165,37,3,3.84905660377358,0.471698113207547,0.509433962264151,3.36734693877551,0.755102040816326,0.0612244897959184
5467,10592,8680,26,26,234,38819,32429,79,79,523,93,0,0,319,6,0,3.57692307692308,0,0,4.0379746835443,0.0759493670886076,0
5469,18191,14999,37,36,660,2693,2426,119,12,175,59,2,342,2,62,0,1.63888888888889,0.0555555555555556,9.5,0.166666666666667,5.16666666666667,0
5473,11,9,25,2,4,145,115,87,2,14,0,0,0,0,0,0,0,0,0,0,0,0
5475,12092,11355,91,68,414,28816,23566,148,130,547,1088,0,12,2517,26,1,16,0,0.176470588235294,19.3615384615385,0.2,0.00769230769230769
5476,5838,2656,92,34,159,51261,21502,87,86,599,88,0,2,827,24,0,2.58823529411765,0,0.0588235294117647,9.61627906976744,0.27906976744186,0
5477,4203,2687,91,54,118,9980,5354,91,59,255,29,0,6,75,23,5,0.537037037037037,0,0.111111111111111,1.27118644067797,0.389830508474576,0.0847457627118644
5478,1324,955,21,7,91,15387,9085,91,88,449,0,0,0,0,0,0,0,0,0,0,0,0
5482,893,808,8,8,54,7074,5453,27,27,173,33,0,0,343,56,5,4.125,0,0,12.7037037037037,2.07407407407407,0.185185185185185
5489,4734,3161,83,57,227,5171,3176,98,56,214,29,0,22,29,10,0,0.508771929824561,0,0.385964912280702,0.517857142857143,0.178571428571429,0
5492,11378,6906,90,51,241,34283,15792,86,54,355,50,28,11,129,11,42,0.980392156862745,0.549019607843137,0.215686274509804,2.38888888888889,0.203703703703704,0.777777777777778
5494,936,280,91,5,49,49686,20835,88,87,606,26,0,1,808,27,0,5.2,0,0.2,9.28735632183908,0.310344827586207,0
5495,2506,1228,18,13,99,18498,10061,91,80,226,90,0,23,960,219,3,6.92307692307692,0,1.76923076923077,12,2.7375,0.0375
5496,22154,9881,91,68,406,10817,5812,68,33,256,50,1,46,8,1,1,0.735294117647059,0.0147058823529412,0.676470588235294,0.242424242424242,0.0303030303030303,0.0303030303030303
5498,18607,11962,68,68,371,1929,1218,6,6,92,4,4,2,0,1,0,0.0588235294117647,0.0588235294117647,0.0294117647058824,0,0.166666666666667,0
5499,9,5,1,1,2,10120,9236,114,58,633,0,0,0,0,0,0,0,0,0,0,0,0
5501,9715,4786,91,39,237,57591,24415,129,92,676,111,0,3,1161,33,0,2.84615384615385,0,0.0769230769230769,12.6195652173913,0.358695652173913,0
5502,7093,5885,27,27,502,31066,26193,92,92,1439,167,0,25,93,79,17,6.18518518518519,0,0.925925925925926,1.01086956521739,0.858695652173913,0.184782608695652
5503,4523,3519,59,36,146,5950,4842,107,34,186,0,0,0,0,0,0,0,0,0,0,0,0
5507,416,216,15,3,26,402,196,65,4,15,0,0,0,0,0,0,0,0,0,0,0,0
5513,3094,2520,26,20,232,10756,7888,91,48,343,38,0,1,22,2,0,1.9,0,0.05,0.458333333333333,0.0416666666666667,0
5514,57255,26664,91,91,624,19670,10128,28,28,301,681,9,32,192,23,0,7.48351648351648,0.0989010989010989,0.351648351648352,6.85714285714286,0.821428571428571,0
5520,7465,5157,20,20,231,25976,18904,88,86,670,305,3,39,1239,58,0,15.25,0.15,1.95,14.406976744186,0.674418604651163,0
5527,37641,20147,69,65,618,44291,22224,62,60,468,670,0,279,393,389,0,10.3076923076923,0,4.29230769230769,6.55,6.48333333333333,0
5531,754,525,83,17,23,724,476,78,12,21,0,0,0,0,0,0,0,0,0,0,0,0
5532,6229,3723,91,70,232,8909,4844,90,69,317,2,0,5,3,1,1,0.0285714285714286,0,0.0714285714285714,0.0434782608695652,0.0144927536231884,0.0144927536231884
5540,999,596,10,6,48,614,305,88,5,61,0,0,0,0,0,0,0,0,0,0,0,0
5543,197,89,67,35,10,19268,8679,90,87,401,0,0,0,0,0,0,0,0,0,0,0,0
5546,89804,23348,89,55,1000,50098,23962,91,65,1054,878,1,24,389,25,2,15.9636363636364,0.0181818181818182,0.436363636363636,5.98461538461538,0.384615384615385,0.0307692307692308
5548,35687,21294,91,90,920,51799,19512,65,65,973,215,2,102,169,79,2,2.38888888888889,0.0222222222222222,1.13333333333333,2.6,1.21538461538462,0.0307692307692308
5556,7574,6284,91,71,285,3928,3391,92,51,147,71,1,19,17,5,0,1,0.0140845070422535,0.267605633802817,0.333333333333333,0.0980392156862745,0
5557,7341,4101,76,39,274,584,236,28,5,34,360,1,51,4,3,0,9.23076923076923,0.0256410256410256,1.30769230769231,0.8,0.6,0
5561,2585,2105,19,19,169,10446,7178,85,53,260,268,0,20,672,9,0,14.1052631578947,0,1.05263157894737,12.6792452830189,0.169811320754717,0
5564,13999,11161,92,75,479,10980,9286,114,81,528,43,0,51,16,11,1,0.573333333333333,0,0.68,0.197530864197531,0.135802469135802,0.0123456790123457
5568,10094,9216,92,66,172,874,756,22,9,46,0,0,0,0,0,0,0,0,0,0,0,0
5573,236,103,91,30,24,9535,3918,79,63,184,9,0,0,571,7,0,0.3,0,0,9.06349206349206,0.111111111111111,0
5576,5789,3187,82,39,166,851,693,114,13,74,49,0,1,7,0,0,1.25641025641026,0,0.0256410256410256,0.538461538461538,0,0
5579,14762,7430,56,51,262,10393,4776,33,27,249,341,1,14,189,5,0,6.68627450980392,0.0196078431372549,0.274509803921569,7,0.185185185185185,0
5584,24741,13463,91,60,442,29801,16210,84,65,455,937,0,48,734,36,1,15.6166666666667,0,0.8,11.2923076923077,0.553846153846154,0.0153846153846154
5585,2931,1667,53,41,101,5982,3245,130,98,237,1,0,0,30,151,1,0.024390243902439,0,0,0.306122448979592,1.54081632653061,0.0102040816326531
5588,16917,10735,89,50,454,20199,11621,89,52,505,656,3,33,843,26,5,13.12,0.06,0.66,16.2115384615385,0.5,0.0961538461538462
5589,14278,6078,57,56,282,23354,8809,91,89,382,56,0,31,86,31,0,1,0,0.553571428571429,0.966292134831461,0.348314606741573,0
5594,208597,84180,91,82,2301,32334,28007,88,62,1476,173,2,12,122,20,6,2.10975609756098,0.024390243902439,0.146341463414634,1.96774193548387,0.32258064516129,0.0967741935483871
5597,16704,8834,92,65,374,25493,13243,117,100,416,419,0,9,685,29,1,6.44615384615385,0,0.138461538461538,6.85,0.29,0.01
5601,14007,6733,51,50,296,19721,11303,91,88,473,110,0,3,64,3,1,2.2,0,0.06,0.727272727272727,0.0340909090909091,0.0113636363636364
5605,59,36,55,3,12,63269,24205,90,68,472,0,0,0,0,0,0,0,0,0,0,0,0
5613,12986,7002,91,51,419,14492,7369,91,39,346,54,3,22,33,11,1,1.05882352941176,0.0588235294117647,0.431372549019608,0.846153846153846,0.282051282051282,0.0256410256410256
5614,3839,2920,90,42,105,6719,5293,82,55,125,7,0,0,157,18,0,0.166666666666667,0,0,2.85454545454545,0.327272727272727,0
5620,7192,6392,51,41,479,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5624,3038,1721,89,53,186,4482,2110,114,61,189,28,8,25,69,34,8,0.528301886792453,0.150943396226415,0.471698113207547,1.13114754098361,0.557377049180328,0.131147540983607
5626,3364,2956,90,78,206,12498,11475,102,101,220,16,0,18,14,56,1,0.205128205128205,0,0.230769230769231,0.138613861386139,0.554455445544555,0.0099009900990099
5638,10296,4227,91,63,132,14490,7289,89,81,440,42,0,2,86,4,2,0.666666666666667,0,0.0317460317460317,1.06172839506173,0.0493827160493827,0.0246913580246914
5639,6781,4262,63,42,183,4362,2301,137,35,131,120,1,266,86,42,0,2.85714285714286,0.0238095238095238,6.33333333333333,2.45714285714286,1.2,0
5640,2234,1644,37,33,36,5271,4317,91,73,144,17,2,0,7,4,16,0.515151515151515,0.0606060606060606,0,0.0958904109589041,0.0547945205479452,0.219178082191781
5641,13223,4875,83,69,189,15132,5296,70,70,191,98,0,31,11,17,0,1.42028985507246,0,0.449275362318841,0.157142857142857,0.242857142857143,0
5644,122106,30335,91,91,584,163470,36383,92,92,417,189,1,55,121,87,1,2.07692307692308,0.010989010989011,0.604395604395604,1.31521739130435,0.945652173913043,0.0108695652173913
5645,6807,3382,91,81,193,7621,3520,43,41,181,5,0,0,191,3,0,0.0617283950617284,0,0,4.65853658536585,0.0731707317073171,0
5646,286,222,24,7,12,10941,9168,92,66,563,3,0,0,87,10,0,0.428571428571429,0,0,1.31818181818182,0.151515151515152,0
5647,192,111,55,13,32,248,143,89,23,23,0,0,36,68,1,0,0,0,2.76923076923077,2.95652173913043,0.0434782608695652,0
5658,4391,3201,43,21,298,4457,3258,90,62,425,106,0,153,144,315,0,5.04761904761905,0,7.28571428571429,2.32258064516129,5.08064516129032,0
5659,5604,2800,91,58,89,13162,6429,88,86,159,122,0,0,600,0,0,2.10344827586207,0,0,6.97674418604651,0,0
5660,6267,3001,25,25,167,40829,23152,146,134,623,0,0,50,3,413,0,0,0,2,0.0223880597014925,3.08208955223881,0
5662,24074,11988,91,50,605,31818,13484,87,86,527,439,0,150,722,225,1,8.78,0,3,8.3953488372093,2.61627906976744,0.0116279069767442
5664,13476,7630,91,86,493,1327,803,54,17,124,216,1,40,27,21,0,2.51162790697674,0.0116279069767442,0.465116279069767,1.58823529411765,1.23529411764706,0
5666,1314,849,13,9,119,9014,4543,73,41,307,0,0,0,0,0,0,0,0,0,0,0,0
5675,10493,5712,55,55,327,6631,3253,88,45,178,101,203,261,11,53,41,1.83636363636364,3.69090909090909,4.74545454545455,0.244444444444444,1.17777777777778,0.911111111111111
5679,7207,5489,92,63,491,5718,4623,141,68,518,79,0,21,56,70,0,1.25396825396825,0,0.333333333333333,0.823529411764706,1.02941176470588,0
5681,9921,5208,90,47,211,1229,583,90,79,66,0,0,0,0,0,0,0,0,0,0,0,0
5682,105,70,5,4,21,1421,703,170,24,117,0,0,0,0,0,0,0,0,0,0,0,0
5685,24587,17237,91,87,203,6861,4352,22,21,52,176,0,1,51,0,0,2.02298850574713,0,0.0114942528735632,2.42857142857143,0,0
5687,20273,10622,91,87,259,22521,10872,87,87,294,654,1,139,752,156,1,7.51724137931035,0.0114942528735632,1.59770114942529,8.64367816091954,1.79310344827586,0.0114942528735632
5688,1981,1050,36,20,106,13682,7251,65,48,265,2,0,3,4,4,0,0.1,0,0.15,0.0833333333333333,0.0833333333333333,0
5689,169,105,55,33,6,1469,1310,91,16,57,31,0,0,22,3,0,0.939393939393939,0,0,1.375,0.1875,0
5692,4063,1944,53,29,79,9220,3810,91,58,141,3,0,1,16,1,0,0.103448275862069,0,0.0344827586206897,0.275862068965517,0.0172413793103448,0
5698,5850,2602,91,89,87,9945,5573,95,77,209,833,0,7,799,30,1,9.35955056179775,0,0.0786516853932584,10.3766233766234,0.38961038961039,0.012987012987013
5699,4931,3726,92,46,194,1053,838,108,20,86,8,0,4,4,0,0,0.173913043478261,0,0.0869565217391304,0.2,0,0
5701,4806,2943,91,56,123,5639,3441,88,86,158,5,0,5,1,3,0,0.0892857142857143,0,0.0892857142857143,0.0116279069767442,0.0348837209302326,0
5703,6276,3372,87,37,246,7815,4321,59,39,271,0,0,1,0,1,0,0,0,0.027027027027027,0,0.0256410256410256,0
5704,3875,1258,53,39,99,4318,2227,91,46,136,0,0,0,0,0,0,0,0,0,0,0,0
5709,16743,12909,74,74,439,17915,14254,88,79,539,599,0,9,583,15,1,8.09459459459459,0,0.121621621621622,7.37974683544304,0.189873417721519,0.0126582278481013
5710,5627,4341,69,40,356,17591,15325,85,47,497,198,1,35,167,38,0,4.95,0.025,0.875,3.5531914893617,0.808510638297872,0
5711,11372,8013,91,70,174,21607,10196,89,86,223,8,0,1,17,7,0,0.114285714285714,0,0.0142857142857143,0.197674418604651,0.0813953488372093,0
5714,12150,5242,62,62,196,18738,8137,91,90,281,690,0,13,1002,61,0,11.1290322580645,0,0.209677419354839,11.1333333333333,0.677777777777778,0
5716,9541,6539,33,32,236,21666,15795,80,65,485,293,6,2,623,8,4,9.15625,0.1875,0.0625,9.58461538461538,0.123076923076923,0.0615384615384615
5720,11804,6457,85,73,405,11234,5513,114,40,385,130,0,17,204,18,4,1.78082191780822,0,0.232876712328767,5.1,0.45,0.1
