"","person_id","sex","age","edu","suppgov1","suppgov2","ideo1","ideo2","party1","opp_party1","party2","opp_party2","know_1_w2","know_2_w2","know_3_w2","know_4_w2","know_5_w2","know_fac_1_w2","know_fac_2_w2","know_fac_3_w2","know_fac_4_w2","ptc_1_w2","ptc_2_w2","ptc_3_w2","ptc_4_w2","ptc_5_w2","ptc_6_w2","ptc_7_w2","ptc_8_w2","att_imp_1_w1","att_imp_2_w1","att_imp_3_w1","att_imp_4_w1","att_imp_5_w1","att_imp_1_w2","att_imp_2_w2","att_imp_3_w2","att_imp_4_w2","att_imp_5_w2","att_str_1_w1","att_str_2_w1","att_str_3_w1","att_str_4_w1","att_str_5_w1","att_str_1_w2","att_str_2_w2","att_str_3_w2","att_str_4_w2","att_str_5_w2","ft_far_w1","ft_pis_w1","ft_sld_w1","ft_lw_w1","ft_rw_w1","ft_women_w1","ft_rel_w1","ft_eu_w1","ft_econ_w1","ft_far_w2","ft_pis_w2","ft_sld_w2","ft_lw_w2","ft_rw_w2","ft_women_w2","ft_rel_w2","ft_eu_w2","ft_econ_w2","stupid_far_w1","stupid_women_w1","stupid_rel_w1","stupid_eu_w1","stupid_econ_w1","stupid_far_w2","stupid_pis_w2","stupid_sld_w2","stupid_lw_w2","stupid_rw_w2","stupid_women_w2","stupid_rel_w2","stupid_eu_w2","stupid_econ_w2","under_far_w1","under_pis_w1","under_sld_w1","under_lw_w1","under_rw_w1","under_women_w1","under_rel_w1","under_eu_w1","under_econ_w1","under_far_w2","under_pis_w2","under_sld_w2","under_lw_w2","under_rw_w2","under_women_w2","under_rel_w2","under_eu_w2","under_econ_w2","malvol_gov_1_w1","malvol_gov_2_w1","malvol_gov_3_w1","malvol_gov_4_w1","malvol_gov_5_w1","malvol_op_1_w1","malvol_op_2_w1","malvol_op_3_w1","malvol_op_4_w1","malvol_op_5_w1","malvol_gov_1_w2","malvol_gov_2_w2","malvol_gov_3_w2","malvol_gov_4_w2","malvol_gov_5_w2","malvol_op_1_w2","malvol_op_2_w2","malvol_op_3_w2","malvol_op_4_w2","malvol_op_5_w2","comp_1_w1","comp_2_w1","comp_3_w1","comp_4_w1","comp_1_w2","comp_2_w2","comp_3_w2","comp_4_w2","perpol_1_w1","perpol_2_w1","perpol_3_w1","perpol_4_w1","perpol_1_w2","perpol_2_w2","perpol_3_w2","perpol_4_w2","well_act_1_w2","well_act_2_w2","well_act_3_w2","well_act_4_w2","well_act_5_w2","well_feel_1_w2","well_feel_2_w2","well_feel_3_w2","well_feel_4_w2","well_feel_5_w2","well_feel_6_w2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition_control","condition_experimental","condition","party_bin","party_strength","news","news_like","know_w2","know_fac_w2","ptc_w2","att_str_w1","att_str_w2","att_imp_w1","att_imp_w2","ft_party_op_w1","ft_ideo_op_w1","ft_w1","ft_party_op_w2","ft_ideo_op_w2","ft_w2","under_party_op_w1","under_ideo_op_w1","under_w1","under_party_op_w2","under_ideo_op_w2","under_w2","stupid_w1","stupid_w2","malvol_1_w1","malvol_1_w2","malvol_2_w1","malvol_2_w2","malvol_3_w1","malvol_3_w2","malvol_4_w1","malvol_4_w2","malvol_5_w1","malvol_5_w2","malvol_w1","malvol_w2","comp_w1","comp_w2","perpol_w1","perpol_w2","well_feel_w2","well_act_w2"
"1",7063,"Female","Age: 25–34","Education: Bachelor degree",1,3,4,4,5,1,5,1,4,3,4,3,3,1,0,1,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,68,NA,51,NA,56,54,58,47,52,72,NA,50,NA,59,53,49,49,49,4,NA,4,4,NA,4,NA,4,NA,4,4,4,4,4,4,NA,4,NA,4,4,4,4,4,4,NA,4,NA,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,1,2,1,1,7,4,4,3,3,3,3,25600,13999,90,75,611,189,16,0,2.52,38.7444131455399,0,0.777777777777778,4,1,NA,"More News - Control","Anti",4,8.14666666666667,0.213333333333333,3.4,2,0,4,4,4,4,NA,56,58.9166666666667,NA,59,60.3333333333333,NA,4,25.3333333333333,NA,4,26.6666666666667,4,4,4,4,4,4,4,4,3,3,3,3,3.6,3.6,3,3,4,3.75,3.33333333333333,2.4
"2",7062,"Female","Age: 25–34","Education: Graduate school",3,5,3,10,7,1,5,3,6,0,6,3,2,1,1,1,1,0,0,1,0,0,0,0,0,6,5,6,6,5,6,5,6,6,5,6,6,6,5,5,5,7,6,7,6,29,41,NA,39,NA,41,39,26,19,48,56,NA,37,NA,43,1,43,28,4,NA,2,3,NA,5,6,NA,6,NA,6,6,5,6,3,2,NA,5,NA,2,3,1,1,6,6,NA,5,NA,5,6,5,6,6,5,6,5,5,4,5,4,5,5,6,6,4,6,5,5,5,6,6,6,0,3,2,1,1,4,2,1,6,4,6,5,7,5,5,6,8,6,5,1,1,2,1,1,2,1,1,4091,2094,85,34,142,29,24,0,0.852941176470588,38.251864125932,0,5.33333333333333,3,1,NA,"More News - Control","Anti",2,4.17647058823529,0.705882352941177,3.4,4,1,5.75,6.25,5.75,5.75,41,NA,33.125,56,NA,40.375,2,NA,8.625,6,NA,16.25,3.25,4.875,6,6,5,6,6,4,2,1,2,2,4.2,3.8,1.5,2,5.25,5.75,1.33333333333333,4.2
"3",7061,"Male","Age: 55+","Education: High school",5,3,5,5,2,1,2,1,4,3,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,4,3,4,3,5,4,4,4,4,4,4,3,3,2,5,4,4,4,4,4,85,NA,43,43,42,41,40,40,41,88,NA,51,52,45,44,37,40,33,4,4,NA,NA,4,1,NA,1,1,1,1,1,1,1,4,NA,4,4,4,4,4,4,4,1,NA,1,1,1,1,1,1,1,4,4,4,2,4,NA,NA,NA,NA,NA,4,4,4,4,4,0,0,0,0,0,2,1,0,3,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,7,4,4,3,3,3,3,5905,4445,113,69,285,3,2,0,0.0434782608695652,38.9287609716268,0,0.444444444444444,4,1,NA,"More News - Control","Anti",0,4.1304347826087,0.0289855072463768,2.2,3,0,3,4,3.5,4,NA,42,55.8333333333333,NA,45,57.1666666666667,NA,4,31,NA,1,30,4,2.5,4,4,4,4,4,4,5,3,3,3,4,3.6,1.5,1,4,4,3.33333333333333,2.2
"4",7060,"Male","Age: 55+","Education: High school",8,8,8,8,1,5,1,5,6,5,6,6,5,1,0,1,0,1,0,0,0,0,0,0,0,5,7,7,6,7,2,5,7,6,7,7,6,7,4,7,6,5,7,4,7,100,NA,61,53,NA,76,56,100,45,100,NA,75,50,NA,50,50,85,50,2,NA,4,7,NA,2,NA,4,1,NA,3,4,5,1,1,NA,5,4,NA,4,4,2,6,1,NA,3,4,NA,4,3,2,6,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,7,7,7,1,1,4,3,4,6,5,5,6,6,7,7,7,7,6,7,7,7,5,2,1,1,7,2,2,3,3,3,1,7498,4001,36,36,238,12,12,4,0.333333333333333,38.6244131455399,0.111111111111111,2.11111111111111,6,NA,1,"More News - Experiment","Pro",3,6.61111111111111,0.333333333333333,5.6,2,1,6,5.5,6.25,5,61,53,67.5833333333333,75,50,65.4166666666667,5,4,20.1666666666667,3,4,19.75,3.75,2.625,7,7,7,7,7,7,6,6,6,6,6.6,6.6,4.25,5.5,7,6.75,2.33333333333333,3.2
"5",7059,"Female","Age: 25–34","Education: Bachelor degree",2,1,3,2,9,3,5,3,5,4,5,4,4,1,0,1,1,1,0,0,1,1,0,0,0,5,4,6,5,7,5,5,6,5,6,5,6,6,5,7,5,5,5,4,6,78,88,NA,NA,60,74,82,79,61,70,80,NA,NA,55,68,63,73,59,2,3,NA,NA,4,5,2,NA,NA,4,3,4,3,4,1,1,NA,NA,2,2,3,3,2,2,2,NA,NA,3,3,4,3,4,5,4,5,3,3,NA,NA,NA,NA,NA,5,5,5,4,4,0,0,0,0,0,1,2,1,3,2,1,2,4,5,5,6,6,5,3,4,3,4,3,1,3,7,4,5,2,3,2,3,237,122,95,8,10,0,0,0,0,38.9577464788732,0,2.88888888888889,3,NA,1,"More News - Experiment","Anti",3,1.25,0,4.4,3,3,5.5,4.75,5,5.25,88,60,72.3333333333333,80,55,65.25,1,2,14.6666666666667,2,3,14.1666666666667,2.75,2.75,5,5,4,5,5,5,4,3,4,3,4.4,4.2,1.75,2.25,5.5,3.75,3.16666666666667,3.6
"6",7056,"Female","Age: 25–34","Education: Bachelor degree",3,2,5,5,3,1,5,1,4,3,4,3,3,1,0,1,1,0,0,0,0,0,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,50,NA,NA,54,53,53,50,50,50,48,NA,NA,50,53,48,50,50,51,4,NA,4,4,NA,4,NA,NA,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,NA,NA,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,4,4,4,4,4,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,3,3,3,3,4887,3506,24,12,267,102,155,55,8.5,26.0410798122065,4.58333333333333,2.66666666666667,4,NA,1,"More News - Experiment","Anti",2,22.25,12.9166666666667,3.4,3,1,4,4,4,4,NA,53,51.25,NA,53,50.25,NA,4,19.3333333333333,NA,4,18.6666666666667,4,4,4,4,4,4,4,4,3,3,3,3,3.6,3.6,3,3,4,4,3.33333333333333,4.4
"7",7054,"Female","Age: 45–54","Education: High school",0,0,4,4,7,1,8,1,4,3,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,95,NA,10,NA,82,21,20,21,20,98,NA,20,NA,68,89,89,90,89,4,NA,4,4,NA,4,NA,4,NA,4,4,4,4,4,4,NA,4,NA,4,4,4,4,4,4,NA,4,NA,4,4,4,4,4,7,7,7,3,3,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,7,6,3,6,3,5,3,3,3,3,3,3,7799,4386,87,58,198,264,1,1,4.55172413793103,38.9405050995629,0.0172413793103448,4.55555555555556,2,NA,1,"More News - Experiment","Anti",5,3.41379310344828,0.0172413793103448,3.4,2,0,4.25,4,4,4,NA,82,65.8333333333333,NA,68,85.0833333333333,NA,4,34.3333333333333,NA,4,35.3333333333333,4,4,7,7,7,7,7,7,4,6,4,6,5.8,6.6,3,3,4,5.5,3,4.6
"8",7049,"Female","Age: 35–44","Education: Graduate school",3,3,5,5,3,1,3,1,4,3,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,4,2,4,5,5,4,2,5,6,5,4,6,4,5,5,4,6,5,5,6,65,NA,60,57,62,50,67,53,48,63,NA,53,52,51,51,49,50,51,5,NA,4,4,NA,4,NA,3,3,4,4,4,4,4,4,NA,3,3,3,3,2,4,4,4,NA,4,4,2,4,3,4,4,6,5,6,2,2,NA,NA,NA,NA,NA,6,5,6,3,3,0,0,0,0,0,3,3,3,3,3,4,5,4,5,3,5,4,6,3,6,5,3,1,1,2,2,2,2,3,2,2,2,22767,17833,89,89,612,19,5,0,0.213483146067416,38.9015667035923,0,0.444444444444444,4,NA,1,"More News - Experiment","Anti",2,6.87640449438202,0.0561797752808989,3,3,0,4.75,5,3.75,4.25,NA,62,60.5,NA,51,54.75,NA,3,23.75,NA,2,22.9166666666667,4.5,4.5,6,6,5,5,6,6,5,4,5,4,5.4,5,3,4,4.25,5,2.16666666666667,1.8
"9",7047,"Female","Age: 35–44","Education: Graduate school",3,1,8,9,4,8,4,8,4,3,4,3,3,1,1,1,0,0,0,0,0,0,0,0,0,7,7,7,7,7,6,4,5,6,7,6,7,5,6,6,4,4,4,4,4,86,NA,65,67,NA,79,82,80,62,99,NA,81,71,NA,76,80,78,77,4,NA,4,4,NA,7,NA,2,2,NA,2,2,2,2,4,NA,5,5,NA,5,5,5,5,2,NA,4,3,NA,3,3,3,3,7,7,7,2,1,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,4,4,5,5,6,6,6,6,4,4,4,4,6,6,6,6,8,1,1,1,2,3,3,1,2,2,3,2484,1475,91,12,108,59,1,0,4.91666666666667,38.8744131455399,0,2.77777777777778,5,NA,1,"More News - Experiment","Anti",2,9,0.0833333333333333,3.4,3,0,6,4,7,5.25,NA,NA,80.875,NA,NA,88.375,NA,NA,45.5,NA,NA,51,4,3,7,7,7,7,7,7,5,6,6,6,6.4,6.6,4.5,6,4,6,2.33333333333333,2.6
"10",7046,"Male","Age: 55+","Education: High school",0,0,0,0,7,1,7,1,2,4,1,5,5,1,1,1,0,1,0,0,0,0,0,0,0,7,7,7,6,7,7,7,6,5,6,7,7,7,5,7,6,6,6,6,6,99,NA,NA,NA,99,99,99,99,99,99,NA,NA,NA,96,5,99,95,85,4,3,NA,NA,2,1,NA,NA,NA,7,5,5,7,5,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,2,7,7,7,2,2,NA,NA,NA,NA,NA,7,7,7,1,1,0,0,0,0,0,5,5,5,5,4,1,0,1,4,4,7,4,6,6,6,6,1,1,1,1,7,2,2,2,5,5,2,4653,3592,88,66,243,16,5,7,0.242424242424242,38.8819889031156,0.106060606060606,1.77777777777778,7,NA,1,"More News - Experiment","Anti",5,3.68181818181818,0.0757575757575758,3.4,3,1,6.5,6,6.75,6.25,NA,99,99,NA,96,88.6666666666667,NA,1,33.6666666666667,NA,1,33.75,3.25,4.75,7,7,7,7,7,7,5,6,5,6,6.2,6.6,5,1.5,4.75,6,3,2.2
