"","id","wave","person_id","sex","age","edu","suppgov1","suppgov2","ideo1","ideo2","party1","opp_party1","party2","opp_party2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition_control","condition_experimental","condition","party_bin","news","news_like","att_imp_1","att_imp_2","att_imp_3","att_imp_4","att_imp_5","att_str_1","att_str_2","att_str_3","att_str_4","att_str_5","ft_far","ft_pis","ft_sld","ft_lw","ft_rw","ft_women","ft_rel","ft_eu","ft_econ","stupid_far","stupid_women","stupid_rel","stupid_eu","stupid_econ","under_far","under_pis","under_sld","under_lw","under_rw","under_women","under_rel","under_eu","under_econ","malvol_gov_1","malvol_gov_2","malvol_gov_3","malvol_gov_4","malvol_gov_5","malvol_op_1","malvol_op_2","malvol_op_3","malvol_op_4","malvol_op_5","comp_1","comp_2","comp_3","comp_4","perpol_1","perpol_2","perpol_3","perpol_4","att_str","att_imp","ft_party_op","ft_ideo_op","ft","under_party_op","under_ideo_op","under","stupid","malvol_1","malvol_2","malvol_3","malvol_4","malvol_5","malvol","comp","perpol","know","know_1","know_2","know_3","know_4","know_5","know_fac","know_fac_1","know_fac_2","know_fac_3","know_fac_4","ptc","ptc_1","ptc_2","ptc_3","ptc_4","ptc_5","ptc_6","ptc_7","ptc_8","stupid_lw","stupid_pis","stupid_rw","stupid_sld","well_act","well_act_1","well_act_2","well_act_3","well_act_4","well_act_5","well_feel","well_feel_1","well_feel_2","well_feel_3","well_feel_4","well_feel_5","well_feel_6","know_r","know_fac_r","ptc_r","att_str_r","att_imp_r","ft_r","under_r","stupid_r","malvol_r","comp_r","perpol_r","well_act_r","well_feel_r","news_r","news_like_r"
"860","430",2,6320,"Male","Age: 45–54","Education: High school",0,0,0,0,9,1,9,1,2475,1281,8,8,51,41,1,0,5.125,38.8327464788732,0,2.11111111111111,1,1,NA,"More News - Control","Anti",6.375,0.125,7,1,7,7,7,7,7,7,7,7,100,NA,NA,NA,99,99,99,98,99,1,7,7,7,7,1,NA,NA,NA,1,1,1,1,1,7,7,7,1,1,0,0,0,0,0,0,0,0,0,7,7,7,7,7,5.5,NA,99,99.25,NA,1,34,7,7,7,7,6,6,6.6,0,7,6,7,6,5,6,6,4,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,7,NA,4.6,8,4,1,3,7,0.333333333333333,1,1,0,0,0,0,93.3333333333333,100,0,100,75,99.25,62.9746835443038,100,100,0,100,54.2857142857143,0,41.6079778661731,3.1938368457642
"861","431",1,6319,"Female","Age: 55+","Education: High school",0,0,5,5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55555555555556,4,1,NA,"More News - Control","Anti",NA,NA,4,4,7,6,7,4,5,7,6,7,100,NA,NA,49,100,50,50,95,90,7,NA,6,7,NA,1,NA,NA,4,2,2,3,4,3,7,7,7,1,1,NA,NA,NA,NA,NA,1,3,2,2,6,6,7,7,5.5,5.25,NA,100,90.4166666666667,NA,2,35,6.75,7,7,7,6,6,6.6,2,6.5,4,5,5,4,2,4,2,1,0,1,0,2,1,0,1,0,0,0,0,0,1,NA,6,NA,3.8,3,1,7,1,7,4.16666666666667,5,6,3,3,3,5,60,50,25,75,70.8333333333333,90.4166666666667,64.873417721519,95.8333333333333,100,33.3333333333333,91.6666666666667,42.8571428571429,63.8888888888889,NA,NA
"862","431",2,6319,"Female","Age: 55+","Education: High school",0,0,5,5,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55555555555556,4,1,NA,"More News - Control","Anti",NA,NA,5,4,7,7,7,5,4,7,6,7,99,NA,NA,50,99,99,99,99,99,1,5,5,7,6,3,NA,NA,5,3,4,3,2,3,7,7,7,1,1,0,0,0,0,0,2,3,2,3,5,5,6,6,5.5,5.75,NA,99,99,NA,3,35,6.375,7,7,7,6,6,6.6,2.5,5.5,4,5,5,4,2,4,2,1,0,1,0,2,1,0,1,0,0,0,0,0,1,NA,6,NA,3.8,3,1,7,1,7,4.16666666666667,5,6,3,3,3,5,60,50,25,75,79.1666666666667,99,64.873417721519,89.5833333333333,100,41.6666666666667,75,42.8571428571429,63.8888888888889,NA,NA
"863","432",1,6317,"Male","Age: 25–34","Education: Graduate school",3,3,7,5,3,1,5,1,6477,3178,92,33,276,1,2,0,0.0303030303030303,38.8971404182671,0,0.222222222222222,4,NA,1,"More News - Experiment","Anti",8.36363636363636,0.0606060606060606,5,5,5,4,5,5,5,5,4,6,99,NA,99,99,99,99,99,99,75,5,NA,4,5,NA,1,NA,1,3,3,2,2,2,2,5,6,6,2,2,NA,NA,NA,NA,NA,1,1,1,1,5,5,5,6,4.75,4.75,NA,99,97,NA,3,34.6666666666667,4.75,5,6,6,5,5,5.4,1,5.25,2.2,2,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,NA,4,3,2.2,1,1,1,1,7,1.66666666666667,1,2,2,2,1,2,30,50,0,62.5,62.5,97,64.2405063291139,62.5,80,16.6666666666667,70.8333333333333,20,22.2222222222222,47.689205139323,1.59553501019184
"864","432",2,6317,"Male","Age: 25–34","Education: Graduate school",3,3,7,5,3,1,5,1,6477,3178,92,33,276,1,2,0,0.0303030303030303,38.8971404182671,0,0.222222222222222,4,NA,1,"More News - Experiment","Anti",8.36363636363636,0.0606060606060606,5,5,5,4,5,5,5,5,4,4,99,NA,99,99,99,99,99,79,99,4,3,2,3,3,2,NA,2,4,4,2,3,3,4,6,6,6,2,2,0,0,0,0,0,1,1,1,2,5,5,6,6,4.75,4.75,NA,99,97.3333333333333,NA,4,35.3333333333333,3.875,6,6,6,5,5,5.6,1.25,5.5,2.2,2,2,2,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,NA,4,3,2.2,1,1,1,1,7,1.66666666666667,1,2,2,2,1,2,30,50,0,62.5,62.5,97.3333333333333,65.5063291139241,47.9166666666667,83.3333333333333,20.8333333333333,75,20,22.2222222222222,47.689205139323,1.59553501019184
"865","433",1,6313,"Male","Age: 45–54","Education: High school",5,5,5,5,5,1,5,1,7061,2842,76,74,112,4,22,0,0.0540540540540541,38.6604491815759,0,2.11111111111111,4,1,NA,"More News - Control","Anti",1.51351351351351,0.297297297297297,6,6,5,5,6,5,6,4,4,5,84,NA,48,39,62,52,78,57,55,3,2,NA,NA,2,3,NA,3,4,3,5,6,4,4,4,4,4,5,5,4,4,4,5,4,2,2,1,1,4,5,5,4,4.75,5.5,NA,62,68.8333333333333,NA,3,30.5833333333333,2.5,4,4,4,2,2,3.2,1.5,4.5,1.4,1,0,1,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,2.2,3,1,2,1,4,2.16666666666667,4,2,2,1,2,2,16.6666666666667,50,0,62.5,75,68.8333333333333,56.4873417721519,25,43.3333333333333,25,58.3333333333333,20,30.5555555555556,14.1891117781169,7.05790732028148
"866","433",2,6313,"Male","Age: 45–54","Education: High school",5,5,5,5,5,1,5,1,7061,2842,76,74,112,4,22,0,0.0540540540540541,38.6604491815759,0,2.11111111111111,4,1,NA,"More News - Control","Anti",1.51351351351351,0.297297297297297,5,6,4,4,5,5,6,4,4,5,99,NA,96,97,98,98,97,98,97,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,2,2,1,1,4,4,4,4,4.75,4.75,NA,98,98.1666666666667,NA,1,33.6666666666667,2,4,4,4,3,3,3.6,1.5,4,1.4,1,0,1,5,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,1,1,2.2,3,1,2,1,4,2.16666666666667,4,2,2,1,2,2,16.6666666666667,50,0,62.5,62.5,98.1666666666667,62.3417721518987,16.6666666666667,50,25,50,20,30.5555555555556,14.1891117781169,7.05790732028148
"867","434",1,6307,"Male","Age: 25–34","Education: Graduate school",5,4,5,6,2,3,2,3,78165,25033,76,76,580,379,18,0,4.98684210526316,38.72090437361,0,0.666666666666667,4,NA,1,"More News - Experiment","Anti",7.63157894736842,0.236842105263158,6,6,6,6,6,6,5,6,5,6,100,NA,64,62,NA,86,78,77,87,1,NA,4,4,NA,4,NA,4,4,NA,4,4,4,4,5,5,5,5,4,NA,NA,NA,NA,NA,1,1,3,2,7,7,4,5,5.5,6,NA,NA,91,NA,NA,52,2.5,5,5,5,2,3,4,1.75,5.75,1.8,2,1,1,4,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,5,NA,NA,5,3,2,1,1,4,7,2,1,2,2,2,3,2,23.3333333333333,50,12.5,75,83.3333333333333,91,97.1518987341772,25,56.6666666666667,29.1666666666667,79.1666666666667,31.4285714285714,27.7777777777778,45.6155913993727,5.76387390266275
"868","434",2,6307,"Male","Age: 25–34","Education: Graduate school",5,4,5,6,2,3,2,3,78165,25033,76,76,580,379,18,0,4.98684210526316,38.72090437361,0,0.666666666666667,4,NA,1,"More News - Experiment","Anti",7.63157894736842,0.236842105263158,6,6,6,6,6,6,5,5,5,5,100,NA,55,53,NA,81,76,75,74,5,5,5,5,5,1,NA,4,4,NA,4,4,1,4,2,2,3,2,4,0,0,0,0,0,2,2,2,2,7,7,7,5,5.25,6,NA,NA,88.25,NA,NA,51.625,3,2,2,3,5,3,3,2,6.5,1.8,2,1,1,4,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,5,NA,NA,5,3,2,1,1,4,7,2,1,2,2,2,3,2,23.3333333333333,50,12.5,70.8333333333333,83.3333333333333,88.25,96.4398734177215,33.3333333333333,40,33.3333333333333,91.6666666666667,31.4285714285714,27.7777777777778,45.6155913993727,5.76387390266275
"869","435",1,6304,"Male","Age: 25–34","Education: Bachelor degree",5,0,5,4,4,1,9,1,408,87,88,11,25,0,0,0,0,38.9577464788732,0,4,4,1,NA,"More News - Control","Anti",2.27272727272727,0,7,7,7,7,7,7,7,7,7,7,89,NA,NA,NA,82,100,67,61,65,4,NA,4,4,NA,4,NA,NA,NA,4,4,4,4,4,6,7,7,1,1,NA,NA,NA,NA,NA,0,0,0,0,7,6,7,7,7,7,NA,82,81.4166666666667,NA,4,32.3333333333333,4,6,7,7,6,6,6.4,0,6.75,3.2,4,3,3,3,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,NA,NA,6,NA,5.4,7,5,6,7,2,3.66666666666667,5,5,3,3,3,3,46.6666666666667,100,0,100,100,81.4166666666667,59.8101265822785,50,96.6666666666667,0,95.8333333333333,65.7142857142857,55.5555555555556,20.9123525801828,0
