"","id","wave","person_id","sex","age","edu","party","ideo","approve_trump","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition","party_bin","party_strength","news","news_like","att_imp_gun","att_imp_immigrant","att_imp_climate","att_imp_trump","att_imp_econ","att_str_gun","att_str_immigrant","att_str_climate","att_str_trump","att_str_econ","ft_dem","ft_rep","ft_lib","ft_cons","ft_gun","ft_immigrant","ft_climate","ft_econ","stupid_party_opp","stupid_ind_dem","stupid_ideo_opp","stupid_ind_cons","stupid_gun","stupid_immigrant","stupid_climate","stupid_econ","under_party_opp","under_ideo_opp","under_gun","under_immigrant","under_climate","under_econ","malvol_1","malvol_2","malvol_3","malvol_4","malvol_5","comp_1","comp_2","comp_3","comp_4","perpol_1","perpol_2","perpol_3","perpol_4","att_str","att_imp","ft_party_op","ft_ideo_op","ft","under_party_op","under_ideo_op","under","stupid_party_op","stupid_ideo_op","stupid","malvol","comp","perpol","know","know_1","know_2","know_3","know_4","know_5","know_fac","know_fac_1","know_fac_2","know_fac_3","know_fac_4","ptc","well_act","well_act_1","well_act_2","well_act_3","well_act_4","well_act_5","well_feel","well_feel_1","well_feel_2","well_feel_3","well_feel_4","well_feel_5","well_feel_6","know_r","know_fac_r","ptc_r","att_str_r","att_imp_r","ft_r","under_r","stupid_r","malvol_r","comp_r","perpol_r","well_act_r","well_feel_r","news_r","news_like_r"
"1","1",1,326,"Male","Age: 18–24","Education: High school",1,2,1,43264,14123,75,72,277,0,0,0,0,63.7555555555556,0,6.77777777777778,4,"No News - Control","Democrat",3,3.84722222222222,0,6,7,5,7,6,6,6,7,7,5,0,99,8,69,94,94,94,95,7,NA,4,NA,NA,NA,7,NA,1,4,1,1,1,2,6,6,7,6,6,0,0,0,0,5,4,7,6,6,6,99,69,65.8125,1,1,1.0625,7,7,5.5,6.2,0,5.5,5.4,6,5,6,5,5,2,1,1,0,0,2,2.2,4,1,1,1,4,3.5,3,6,3,3,3,3,83.3333333333333,50,22.2222222222222,83.3333333333333,62.5,87.4166666666667,1.38888888888889,100,93.3333333333333,0,75,25,52.7777777777778,30.8287492596526,0
"2","1",2,326,"Male","Age: 18–24","Education: High school",1,2,1,43264,14123,75,72,277,0,0,0,0,63.7555555555556,0,6.77777777777778,4,"No News - Control","Democrat",3,3.84722222222222,0,9,9,8,9,8,7,7,6,7,6,0,100,0,100,100,100,80,70,7,NA,7,NA,7,7,7,5,1,2,1,1,2,2,7,7,7,6,6,2,5,4,3,6,7,7,7,6.5,8.5,100,100,72.125,1,1,1.125,7,7,5.375,6.6,3.5,6.75,5.4,6,5,6,5,5,2,1,1,0,0,2,2.2,4,1,1,1,4,3.5,3,6,3,3,3,3,83.3333333333333,50,22.2222222222222,91.6666666666667,93.75,95.8333333333333,2.77777777777778,97.2222222222222,100,58.3333333333333,95.8333333333333,25,52.7777777777778,30.8287492596526,0
"3","2",1,503,"Male","Age: 35–44","Education: Junior college",2,6,4,31809,20754,74,56,277,0,0,9,0,63.7555555555556,0.160714285714286,4.55555555555556,4,"No News - Control","Democrat",2,4.94642857142857,0,3,3,3,3,7,2,4,2,4,7,5,8,10,10,19,25,15,45,2,NA,2,NA,NA,NA,NA,3,6,6,5,5,5,4,2,2,2,1,1,1,0,0,0,6,2,6,7,3.75,4,8,10,11.25,6,6,4.4375,2,2,2,1.6,0.25,5.25,3,5,1,6,2,1,2,1,1,0,0,1,3.6,8,1,6,3,0,2.83333333333333,5,6,1,1,2,2,43.3333333333333,50,11.1111111111111,45.8333333333333,37.5,14.6666666666667,76.3888888888889,22.2222222222222,16.6666666666667,4.16666666666667,70.8333333333333,50,41.6666666666667,36.6348033679505,0
"4","2",2,503,"Male","Age: 35–44","Education: Junior college",2,6,4,31809,20754,74,56,277,0,0,9,0,63.7555555555556,0.160714285714286,4.55555555555556,4,"No News - Control","Democrat",2,4.94642857142857,0,8,5,5,5,4,4,4,4,6,5,78,62,61,70,57,63,67,66,5,NA,4,NA,4,5,5,5,4,4,5,4,5,5,6,5,5,4,1,1,2,2,1,5,6,5,5,4.25,5.5,62,70,49.0625,4,4,3.4375,5,5,3.9375,4.2,1.5,5.25,3,5,1,6,2,1,2,1,1,0,0,1,3.6,8,1,6,3,0,2.83333333333333,5,6,1,1,2,2,43.3333333333333,50,11.1111111111111,54.1666666666667,56.25,65.0833333333333,54.1666666666667,65.2777777777778,60,25,70.8333333333333,50,41.6666666666667,36.6348033679505,0
"5","3",1,842,"Female","Age: 55+","Education: Junior college",6,8,6,51359,27001,76,64,914,0,11,111,0,63.5836805555556,1.734375,3.55555555555556,4,"No News - Experiment","Republican",2,14.28125,0.171875,7,7,7,7,7,7,5,5,7,7,71,17,72,30,72,53,51,51,6,NA,7,NA,NA,NA,4,5,1,2,2,4,4,1,7,7,7,6,6,0,0,0,3,5,5,6,5,6,7,71,72,50.1875,1,1,1.4375,6,6,4.375,6.6,0.75,5.25,3.2,4,2,4,3,3,1,1,0,0,0,0,2,1,4,1,1,3,2.16666666666667,1,5,2,1,1,3,46.6666666666667,25,0,83.3333333333333,75,66.5833333333333,9.72222222222222,75,100,12.5,70.8333333333333,21.4285714285714,30.5555555555556,63.4467600028975,3.80291297950587
"6","3",2,842,"Female","Age: 55+","Education: Junior college",6,8,6,51359,27001,76,64,914,0,11,111,0,63.5836805555556,1.734375,3.55555555555556,4,"No News - Experiment","Republican",2,14.28125,0.171875,9,5,8,5,5,7,7,5,6,5,32,21,23,24,20,16,16,24,5,NA,6,NA,4,5,4,5,4,5,5,3,4,6,3,5,3,3,3,1,2,2,1,5,4,5,5,6,6.75,32,23,18.75,4,4,3.375,5,5,3.875,3.4,1.5,4.75,3.2,4,2,4,3,3,1,1,0,0,0,0,2,1,4,1,1,3,2.16666666666667,1,5,2,1,1,3,46.6666666666667,25,0,83.3333333333333,71.875,24.6666666666667,52.7777777777778,63.8888888888889,46.6666666666667,25,62.5,21.4285714285714,30.5555555555556,63.4467600028975,3.80291297950587
"7","4",1,672,"Male","Age: 25–34","Education: High school",3,5,1,16683,6847,75,28,223,0,0,0,0,63.7555555555556,0,3.33333333333333,4,"No News - Experiment","Democrat",1,7.96428571428571,0,7,1,5,1,6,5,3,5,1,6,21,4,83,21,50,59,90,44,3,4,5,4,4,4,NA,NA,3,5,6,3,2,2,5,2,4,6,4,4,5,3,4,4,2,3,6,4.75,4.75,4,21,21.6875,3,3,2.5625,3,3,2.75,4.2,4,3.75,3.4,4,3,5,2,3,2,1,0,0,1,5,2.4,2,5,1,1,3,2.83333333333333,1,4,3,3,3,3,50,50,55.5555555555556,62.5,46.875,28.5833333333333,34.7222222222222,38.8888888888889,60,66.6666666666667,45.8333333333333,28.5714285714286,41.6666666666667,48.2948530448866,0
"8","4",2,672,"Male","Age: 25–34","Education: High school",3,5,1,16683,6847,75,28,223,0,0,0,0,63.7555555555556,0,3.33333333333333,4,"No News - Experiment","Democrat",1,7.96428571428571,0,4,4,5,4,5,4,3,4,3,3,93,94,88,89,93,87,87,89,1,4,1,4,1,1,1,1,5,5,5,5,5,5,4,4,4,3,3,2,1,0,1,5,5,5,6,3.5,4.5,94,89,68.25,5,5,4,1,1,1,3.6,1,5.25,3.4,4,3,5,2,3,2,1,0,0,1,5,2.4,2,5,1,1,3,2.83333333333333,1,4,3,3,3,3,50,50,55.5555555555556,41.6666666666667,43.75,90.6666666666667,66.6666666666667,0,50,16.6666666666667,70.8333333333333,28.5714285714286,41.6666666666667,48.2948530448866,0
"9","5",1,814,"Male","Age: 35–44","Education: High school",1,0,1,21274,11225,75,72,373,0,10,442,0,63.6166666666667,6.13888888888889,2,1,"No News - Experiment","Democrat",3,5.18055555555556,0.138888888888889,7,5,7,7,6,7,7,7,7,5,5,99,0,99,99,99,80,70,5,NA,4,NA,NA,NA,6,4,1,1,1,1,2,2,5,5,4,6,6,1,1,0,4,5,7,6,7,6.5,6.25,99,99,71.5,1,1,1.125,5,5,4,5.2,1.5,6.25,3.2,4,3,4,3,2,3,0,1,1,1,0,2.6,1,2,1,2,7,3,2,2,3,4,3,4,46.6666666666667,75,0,91.6666666666667,65.625,95,2.77777777777778,66.6666666666667,76.6666666666667,25,87.5,32.1428571428571,44.4444444444444,37.7318237396757,3.11831679543579
"10","5",2,814,"Male","Age: 35–44","Education: High school",1,0,1,21274,11225,75,72,373,0,10,442,0,63.6166666666667,6.13888888888889,2,1,"No News - Experiment","Democrat",3,5.18055555555556,0.138888888888889,4,4,5,3,4,5,5,5,3,4,98,99,99,98,99,98,99,80,1,NA,1,NA,1,1,2,1,4,4,4,4,4,4,3,3,4,3,3,4,2,4,3,4,5,5,5,4.75,4.25,99,98,73,4,4,3.25,1,1,1.0625,3.2,3.25,4.75,3.2,4,3,4,3,2,3,0,1,1,1,0,2.6,1,2,1,2,7,3,2,2,3,4,3,4,46.6666666666667,75,0,62.5,40.625,97,50,1.38888888888889,43.3333333333333,54.1666666666667,62.5,32.1428571428571,44.4444444444444,37.7318237396757,3.11831679543579
