"","id","wave","person_id","sex","age","edu","party","ideo","approve_trump","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition","party_bin","party_strength","news","news_like","att_imp_gun","att_imp_immigrant","att_imp_climate","att_imp_trump","att_imp_econ","att_str_gun","att_str_immigrant","att_str_climate","att_str_trump","att_str_econ","ft_dem","ft_rep","ft_lib","ft_cons","ft_gun","ft_immigrant","ft_climate","ft_econ","stupid_party_opp","stupid_ind_dem","stupid_ideo_opp","stupid_ind_cons","stupid_gun","stupid_immigrant","stupid_climate","stupid_econ","under_party_opp","under_ideo_opp","under_gun","under_immigrant","under_climate","under_econ","malvol_1","malvol_2","malvol_3","malvol_4","malvol_5","comp_1","comp_2","comp_3","comp_4","perpol_1","perpol_2","perpol_3","perpol_4","att_str","att_imp","ft_party_op","ft_ideo_op","ft","under_party_op","under_ideo_op","under","stupid_party_op","stupid_ideo_op","stupid","malvol","comp","perpol","know","know_1","know_2","know_3","know_4","know_5","know_fac","know_fac_1","know_fac_2","know_fac_3","know_fac_4","ptc","well_act","well_act_1","well_act_2","well_act_3","well_act_4","well_act_5","well_feel","well_feel_1","well_feel_2","well_feel_3","well_feel_4","well_feel_5","well_feel_6","know_r","know_fac_r","ptc_r","att_str_r","att_imp_r","ft_r","under_r","stupid_r","malvol_r","comp_r","perpol_r","well_act_r","well_feel_r","news_r","news_like_r"
"11","6",1,142,"Female","Age: 25–34","Education: Bachelor",4,3,3,74760,43241,76,76,881,0,22,1030,0,63.4660818713451,13.5526315789474,4.11111111111111,2,"No News - Experiment","Democrat",0,11.5921052631579,0.289473684210526,6,5,5,5,6,6,6,5,6,6,36,25,24,51,21,58,75,40,6,3,4,6,NA,3,NA,NA,5,6,4,5,5,6,3,5,4,3,2,4,4,2,5,2,3,3,4,5.75,5.5,25,51,31.375,5,5,4,6,6,4,3.4,3.75,3,3.8,4,4,4,3,4,2,0,1,0,1,4,2,1,1,1,1,6,1.5,1,1,2,1,3,1,56.6666666666667,50,44.4444444444444,79.1666666666667,56.25,41.5,66.6666666666667,66.6666666666667,46.6666666666667,62.5,33.3333333333333,21.4285714285714,19.4444444444444,57.9483147165656,6.09583632762568
"12","6",2,142,"Female","Age: 25–34","Education: Bachelor",4,3,3,74760,43241,76,76,881,0,22,1030,0,63.4660818713451,13.5526315789474,4.11111111111111,2,"No News - Experiment","Democrat",0,11.5921052631579,0.289473684210526,5,3,9,9,4,5,6,7,7,5,5,78,11,89,79,81,100,80,2,3,2,6,1,2,3,1,3,2,3,2,2,4,2,1,2,3,3,2,2,2,4,5,3,7,7,5.75,5.25,78,89,63.25,3,3,2.4375,2,2,1.6875,2.2,2.5,5.5,3.8,4,4,4,3,4,2,0,1,0,1,4,2,1,1,1,1,6,1.5,1,1,2,1,3,1,56.6666666666667,50,44.4444444444444,79.1666666666667,53.125,84,31.9444444444444,15.2777777777778,26.6666666666667,41.6666666666667,75,21.4285714285714,19.4444444444444,57.9483147165656,6.09583632762568
"13","7",1,546,"Male","Age: 18–24","Education: Junior college",2,6,3,28822,11135,73,59,378,0,0,0,0,63.7555555555556,0,6.55555555555556,4,"No News - Experiment","Democrat",2,6.40677966101695,0,5,5,6,6,6,7,6,7,6,6,35,68,65,70,62,68,46,57,5,6,7,NA,6,NA,5,NA,6,6,7,5,5,7,6,5,4,1,1,2,1,3,3,5,3,4,5,6.5,5.5,68,70,49.3125,6,6,4.75,5,5,4.125,3.4,2.25,4.25,4.4,5,4,4,5,4,3,1,1,0,1,2,1.2,2,1,1,1,1,1.83333333333333,1,3,2,2,2,1,66.6666666666667,75,22.2222222222222,91.6666666666667,56.25,65.4166666666667,83.3333333333333,69.4444444444444,46.6666666666667,37.5,54.1666666666667,7.14285714285714,25,42.8732174297771,0
"14","7",2,546,"Male","Age: 18–24","Education: Junior college",2,6,3,28822,11135,73,59,378,0,0,0,0,63.7555555555556,0,6.55555555555556,4,"No News - Experiment","Democrat",2,6.40677966101695,0,2,8,8,8,8,2,6,6,6,6,73,19,71,15,82,58,94,93,3,6,3,NA,4,3,4,3,2,3,2,2,2,3,3,3,3,2,3,2,1,1,1,4,4,5,5,5,6.5,19,15,29.1875,2,2,1.8125,3,3,2.625,2.8,1.25,4.5,4.4,5,4,4,5,4,3,1,1,0,1,2,1.2,2,1,1,1,1,1.83333333333333,1,3,2,2,2,1,66.6666666666667,75,22.2222222222222,66.6666666666667,68.75,38.5833333333333,18.0555555555556,36.1111111111111,36.6666666666667,20.8333333333333,58.3333333333333,7.14285714285714,25,42.8732174297771,0
"15","8",1,836,"Male","Age: 35–44","Education: Graduate school",2,1,1,2377,452,2,2,56,0,0,4,0,63.7555555555556,2,6,5,"No News - Experiment","Democrat",2,28,0,6,7,6,6,7,7,6,6,7,7,84,81,78,77,76,53,69,73,1,NA,2,NA,NA,NA,1,2,6,7,6,6,7,7,6,5,5,1,1,0,0,0,0,4,4,5,6,6.5,6.5,81,77,56.6875,6,6,4.875,1,1,1.125,3.6,0,4.75,2,3,2,2,1,2,2,0,0,1,1,1,2.2,1,1,1,1,7,3.83333333333333,4,4,5,3,3,4,26.6666666666667,50,11.1111111111111,91.6666666666667,68.75,75.25,86.1111111111111,2.77777777777778,50,0,62.5,25,58.3333333333333,81.6465318252649,0
"16","8",2,836,"Male","Age: 35–44","Education: Graduate school",2,1,1,2377,452,2,2,56,0,0,4,0,63.7555555555556,2,6,5,"No News - Experiment","Democrat",2,28,0,5,2,5,3,8,5,2,4,2,4,34,34,35,49,78,52,66,46,2,NA,2,NA,4,2,4,2,3,5,2,4,3,3,2,2,2,2,2,1,1,1,1,3,5,6,6,3.75,5,34,49,36.125,3,3,2.5,2,2,2,2,1,5,2,3,2,2,1,2,2,0,0,1,1,1,2.2,1,1,1,1,7,3.83333333333333,4,4,5,3,3,4,26.6666666666667,50,11.1111111111111,45.8333333333333,50,47.8333333333333,33.3333333333333,22.2222222222222,23.3333333333333,16.6666666666667,66.6666666666667,25,58.3333333333333,81.6465318252649,0
"17","9",1,152,"Female","Age: 45–54","Education: High school",4,5,3,24235,20084,76,52,613,0,7,32,0,63.6209401709402,0.615384615384615,2.44444444444444,4,"No News - Experiment","Democrat",0,11.7884615384615,0.134615384615385,5,4,5,3,5,4,4,5,3,4,98,99,98,99,96,97,96,95,4,4,4,4,NA,NA,4,NA,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,5,5,5,4,4.25,4.75,99,99,73.75,4,4,3.0625,4,4,3.25,4,3.75,4.75,1.8,2,2,1,3,1,1,1,0,0,0,3,2.8,3,1,2,2,6,3,3,3,4,3,3,2,23.3333333333333,25,33.3333333333333,54.1666666666667,46.875,98,45.8333333333333,50,56.6666666666667,62.5,62.5,35.7142857142857,44.4444444444444,58.3878707008862,3.02817663936009
"18","9",2,152,"Female","Age: 45–54","Education: High school",4,5,3,24235,20084,76,52,613,0,7,32,0,63.6209401709402,0.615384615384615,2.44444444444444,4,"No News - Experiment","Democrat",0,11.7884615384615,0.134615384615385,5,4,5,4,3,5,6,5,7,3,30,69,10,85,70,88,63,55,4,4,3,4,2,5,4,3,2,2,4,3,4,4,4,3,4,4,4,2,1,1,2,4,3,5,6,4.75,4.25,69,85,56,2,2,2.1875,4,4,3.125,3.8,1.5,4.5,1.8,2,2,1,3,1,1,1,0,0,0,3,2.8,3,1,2,2,6,3,3,3,4,3,3,2,23.3333333333333,25,33.3333333333333,62.5,40.625,74.3333333333333,26.3888888888889,47.2222222222222,53.3333333333333,25,58.3333333333333,35.7142857142857,44.4444444444444,58.3878707008862,3.02817663936009
"19","10",1,713,"Female","Age: 55+","Education: Junior college",1,1,1,45420,30561,58,52,741,2,89,144,0.0384615384615385,62.0440170940171,2.76923076923077,3.66666666666667,3,"No News - Experiment","Democrat",3,14.25,1.71153846153846,5,5,7,7,5,5,5,7,7,4,3,87,24,99,82,99,100,83,3,NA,3,NA,4,NA,NA,4,4,3,4,4,1,4,5,4,4,4,4,2,2,1,4,4,3,7,7,5.25,5.5,87,99,69.5,4,4,3.0625,3,3,2.75,4.2,2.25,5.25,0.4,1,0,1,0,0,3,1,0,1,1,2,2.8,1,2,4,1,6,5.16666666666667,6,7,3,6,6,3,0,75,22.2222222222222,70.8333333333333,56.25,92.3333333333333,45.8333333333333,38.8888888888889,60,37.5,70.8333333333333,35.7142857142857,80.5555555555556,63.3886076017862,23.917697898787
"20","10",2,713,"Female","Age: 55+","Education: Junior college",1,1,1,45420,30561,58,52,741,2,89,144,0.0384615384615385,62.0440170940171,2.76923076923077,3.66666666666667,3,"No News - Experiment","Democrat",3,14.25,1.71153846153846,9,9,9,9,9,7,7,7,7,7,100,99,99,99,99,99,99,99,7,NA,5,NA,7,7,7,7,1,1,1,1,1,1,7,7,7,6,6,0,0,0,0,7,7,7,7,7,9,99,99,74.5,1,1,1,7,7,5.5,6.6,0,7,0.4,1,0,1,0,0,3,1,0,1,1,2,2.8,1,2,4,1,6,5.16666666666667,6,7,3,6,6,3,0,75,22.2222222222222,100,100,99,0,100,100,0,100,35.7142857142857,80.5555555555556,63.3886076017862,23.917697898787
"21","11",1,76,"Male","Age: 55+","Education: Junior college",7,8,5,10,5,1,1,2,0,0,0,0,63.7555555555556,0,2.33333333333333,3,"No News - Experiment","Republican",3,2,0,6,4,6,6,6,7,6,6,6,6,77,12,90,14,83,78,95,94,5,NA,3,NA,NA,2,NA,5,2,2,3,3,2,2,4,4,3,2,3,1,2,1,2,4,4,5,5,6.25,5.5,77,90,63.875,2,2,1.875,5,5,3.625,3.2,1.5,4.5,5.4,4,5,6,6,6,4,1,1,1,1,3,2.2,3,2,1,1,4,1.83333333333333,2,2,2,2,2,1,83.3333333333333,100,33.3333333333333,87.5,56.25,84.8333333333333,19.4444444444444,58.3333333333333,43.3333333333333,25,58.3333333333333,25,25,17.1990447323186,0
"22","11",2,76,"Male","Age: 55+","Education: Junior college",7,8,5,10,5,1,1,2,0,0,0,0,63.7555555555556,0,2.33333333333333,3,"No News - Experiment","Republican",3,2,0,8,8,9,9,5,5,4,6,7,4,45,95,40,90,95,94,95,90,4,NA,4,NA,4,3,5,3,3,3,2,3,2,3,7,7,6,5,6,1,1,1,0,5,4,5,5,4.75,7.5,45,40,44.875,3,3,2.375,4,4,3.1875,6.2,0.75,4.75,5.4,4,5,6,6,6,4,1,1,1,1,3,2.2,3,2,1,1,4,1.83333333333333,2,2,2,2,2,1,83.3333333333333,100,33.3333333333333,62.5,81.25,59.5,30.5555555555556,48.6111111111111,93.3333333333333,12.5,62.5,25,25,17.1990447323186,0
"23","12",1,660,"Female","Age: 45–54","Education: Graduate school",2,5,5,17648,8716,79,18,314,0,1,38,0,63.7,2.11111111111111,2.44444444444444,4,"No News - Experiment","Democrat",2,17.4444444444444,0.0555555555555556,6,4,6,3,6,6,3,6,3,5,18,35,49,48,74,49,82,60,3,NA,2,2,NA,NA,NA,3,5,4,2,4,3,2,2,2,2,2,2,2,2,2,2,5,3,6,6,5,5.5,35,48,37.5625,5,5,3.4375,3,3,2.5,2,2,5,5.8,5,6,6,6,6,3,1,1,0,1,3,1.8,3,2,1,1,2,0.833333333333333,1,1,1,1,0,1,90,75,33.3333333333333,66.6666666666667,56.25,49.75,54.1666666666667,33.3333333333333,23.3333333333333,33.3333333333333,66.6666666666667,17.8571428571429,8.33333333333333,68.7912394987687,1.29638345836545
"24","12",2,660,"Female","Age: 45–54","Education: Graduate school",2,5,5,17648,8716,79,18,314,0,1,38,0,63.7,2.11111111111111,2.44444444444444,4,"No News - Experiment","Democrat",2,17.4444444444444,0.0555555555555556,9,9,9,9,9,7,7,7,7,7,12,72,2,62,70,59,72,68,7,NA,7,2,1,7,7,7,1,1,1,1,1,1,7,7,7,6,6,0,0,0,0,7,7,7,7,7,9,72,62,50.5625,1,1,1,7,7,5.125,6.6,0,7,5.8,5,6,6,6,6,3,1,1,0,1,3,1.8,3,2,1,1,2,0.833333333333333,1,1,1,1,0,1,90,75,33.3333333333333,100,100,67.0833333333333,0,91.6666666666667,100,0,100,17.8571428571429,8.33333333333333,68.7912394987687,1.29638345836545
"25","13",1,25,"Female","Age: 25–34","Education: Bachelor",3,1,1,19499,10024,79,77,289,1,0,4,0.012987012987013,63.7555555555556,0.051948051948052,0.444444444444444,3,"No News - Experiment","Democrat",1,3.75324675324675,0,6,6,5,5,4,5,6,5,7,3,16,98,9,98,87,98,94,60,5,NA,4,NA,4,NA,NA,NA,2,1,2,3,2,4,4,3,4,3,5,1,4,2,1,5,4,5,6,4.75,5.25,98,98,70.4375,2,2,1.9375,5,5,3.75,3.8,2,5,5.8,6,6,5,6,6,2,1,0,0,1,5,2.2,1,1,1,1,7,1.83333333333333,1,4,1,1,1,3,90,50,55.5555555555556,62.5,53.125,93.5833333333333,20.8333333333333,61.1111111111111,53.3333333333333,33.3333333333333,66.6666666666667,25,25,30.2725915163129,0
"26","13",2,25,"Female","Age: 25–34","Education: Bachelor",3,1,1,19499,10024,79,77,289,1,0,4,0.012987012987013,63.7555555555556,0.051948051948052,0.444444444444444,3,"No News - Experiment","Democrat",1,3.75324675324675,0,9,9,1,9,9,4,7,4,7,4,98,0,99,2,94,97,91,93,4,NA,4,NA,2,6,2,2,1,1,2,1,3,2,7,6,6,6,6,0,0,0,0,5,1,7,4,4.75,7,0,2,24.1875,1,1,1.25,4,4,3,6.2,0,4.25,5.8,6,6,5,6,6,2,1,0,0,1,5,2.2,1,1,1,1,7,1.83333333333333,1,4,1,1,1,3,90,50,55.5555555555556,62.5,75,31.9166666666667,5.55555555555556,44.4444444444444,93.3333333333333,0,54.1666666666667,25,25,30.2725915163129,0
"27","14",1,466,"Female","Age: 25–34","Education: Junior college",4,5,1,13005,10287,78,32,279,0,0,55,0,63.7555555555556,1.71875,0.111111111111111,4,"No News - Control","Democrat",0,8.71875,0,7,7,7,7,7,7,7,7,7,7,99,99,99,99,99,99,99,99,7,6,6,6,NA,7,NA,7,1,1,1,1,1,1,7,7,7,6,6,0,0,0,0,7,7,7,7,7,7,99,99,74.5,1,1,1,7,7,5.5,6.6,0,7,5.4,6,5,4,6,6,3,0,1,1,1,4,2.4,1,1,2,1,7,5.16666666666667,6,7,4,6,3,5,83.3333333333333,75,44.4444444444444,100,75,99,0,100,100,0,100,28.5714285714286,80.5555555555556,50.590417784947,0
"28","14",2,466,"Female","Age: 25–34","Education: Junior college",4,5,1,13005,10287,78,32,279,0,0,55,0,63.7555555555556,1.71875,0.111111111111111,4,"No News - Control","Democrat",0,8.71875,0,8,9,8,9,8,6,7,7,7,4,70,20,30,59,64,84,83,75,4,6,2,6,2,2,5,2,4,4,1,1,5,2,6,6,4,3,5,2,3,4,2,5,3,6,4,6,8.25,20,59,39.125,4,4,2.8125,4,4,2.9375,4.8,2.75,4.5,5.4,6,5,4,6,6,3,0,1,1,1,4,2.4,1,1,2,1,7,5.16666666666667,6,7,4,6,3,5,83.3333333333333,75,44.4444444444444,83.3333333333333,90.625,51.8333333333333,40.2777777777778,43.0555555555556,70,45.8333333333333,58.3333333333333,28.5714285714286,80.5555555555556,50.590417784947,0
"29","15",1,393,"Male","Age: 35–44","Education: Junior college",4,4,1,14035,7942,73,59,250,1,3,15,0.0169491525423729,63.7047080979285,0.254237288135593,1.33333333333333,4,"No News - Experiment","Democrat",0,4.23728813559322,0.0508474576271186,5,4,7,7,5,5,5,6,7,5,56,90,40,75,80,85,92,80,7,3,5,NA,NA,5,6,NA,2,4,3,3,2,3,6,7,7,6,6,1,0,1,1,4,3,5,5,5.25,5.25,90,75,62.5625,2,2,1.9375,7,7,5.125,6.4,0.75,4.25,5.4,6,6,5,5,5,3,1,1,0,1,3,2.4,4,3,1,2,2,1.16666666666667,2,2,1,1,0,1,83.3333333333333,75,33.3333333333333,70.8333333333333,53.125,83.0833333333333,20.8333333333333,91.6666666666667,96.6666666666667,12.5,54.1666666666667,28.5714285714286,13.8888888888889,33.0274289944298,1.18919841944892
"30","15",2,393,"Male","Age: 35–44","Education: Junior college",4,4,1,14035,7942,73,59,250,1,3,15,0.0169491525423729,63.7047080979285,0.254237288135593,1.33333333333333,4,"No News - Experiment","Democrat",0,4.23728813559322,0.0508474576271186,9,8,2,5,9,7,5,5,5,7,40,15,35,0,85,50,90,70,3,3,4,NA,6,3,3,6,4,5,2,5,5,2,5,5,6,5,5,4,4,5,4,5,2,6,6,6,7,15,0,22.4375,4,4,3.125,3,3,2.875,5.2,4.25,4.75,5.4,6,6,5,5,5,3,1,1,0,1,3,2.4,4,3,1,2,2,1.16666666666667,2,2,1,1,0,1,83.3333333333333,75,33.3333333333333,83.3333333333333,75,29.5833333333333,47.2222222222222,41.6666666666667,76.6666666666667,70.8333333333333,62.5,28.5714285714286,13.8888888888889,33.0274289944298,1.18919841944892
"31","16",1,753,"Male","Age: 45–54","Education: Graduate school",1,0,1,16864,9159,66,14,203,0,0,0,0,63.7555555555556,0,5.88888888888889,1,"No News - Experiment","Democrat",3,14.5,0,7,7,7,7,7,7,7,7,7,7,0,100,0,97,99,99,99,98,7,NA,7,NA,NA,7,NA,7,1,1,1,1,1,1,7,7,7,6,6,5,3,5,4,7,5,7,7,7,7,100,97,74.1875,1,1,1,7,7,5.5,6.6,4.25,6.5,4.6,5,5,3,5,5,4,1,1,1,1,1,2.2,1,1,1,1,7,1.33333333333333,1,1,1,1,3,1,70,100,11.1111111111111,100,75,98.5833333333333,0,100,100,70.8333333333333,91.6666666666667,25,16.6666666666667,63.8505273406669,0
"32","16",2,753,"Male","Age: 45–54","Education: Graduate school",1,0,1,16864,9159,66,14,203,0,0,0,0,63.7555555555556,0,5.88888888888889,1,"No News - Experiment","Democrat",3,14.5,0,9,8,5,9,5,6,6,4,7,3,10,93,8,31,93,100,28,38,5,NA,6,NA,7,5,3,2,3,3,2,2,3,4,7,7,5,6,6,0,0,0,4,3,6,5,5,4.75,6.75,93,31,47.4375,3,3,2.4375,5,5,3.8125,6.2,1,4.75,4.6,5,5,3,5,5,4,1,1,1,1,1,2.2,1,1,1,1,7,1.33333333333333,1,1,1,1,3,1,70,100,11.1111111111111,62.5,71.875,62.9166666666667,31.9444444444444,62.5,93.3333333333333,16.6666666666667,62.5,25,16.6666666666667,63.8505273406669,0
