domain,Frequency count in our data,Higher > median (excl. zeros),National outlet to include in ideo scaling,Final include in ideo scaling,Twitter,Ideology point estimate,Ideology point estimate lower bound,Ideology point estimate upper bound,Ideology 3-level
gazetalubuska.pl,5318,TRUE,,TRUE,@gazetalubuska,-0.3829765,-1.09633,0.3517215,left
wnp.pl,5276,TRUE,,TRUE,@wnppl,-0.0901318,-0.1823336,-0.005815904,center
nowosci.com.pl,5124,TRUE,,TRUE,@NowosciTorun,-0.1790035,-0.33890575,0.000116449905,center
expressilustrowany.pl,4942,TRUE,,TRUE,@express_lodz,1.37126,1.269199,1.468338,right
tvp.info,4887,TRUE,,TRUE,@tvp_info,0.232738,0.16896755,0.30194735,right
gloswielkopolski.pl,4855,TRUE,,TRUE,@gl_wielkopolski,-0.1472005,-0.28595435,-0.024188185,center
wpolityce.pl,4777,TRUE,,TRUE,@wPolityce_pl,0.308965,0.2602893,0.35923895,right
noizz.pl,4761,TRUE,,TRUE,@NOIZZpl,-0.861018,-0.9808647,-0.7393351,left
nowiny24.pl,4646,TRUE,,TRUE,@nowiny24,0.21639,0.07921699,0.3621741,center
mp.pl,4451,TRUE,,TRUE,,,,,
kurierlubelski.pl,4397,TRUE,,TRUE,@kurierlubelski,0.04418785,-0.07325537,0.1562409,center
poranny.pl,4382,TRUE,,TRUE,@porannypl,-0.494448,-0.6822016,-0.31238325,left
nto.pl,4200,TRUE,,TRUE,@nto_pl,-0.228554,-0.41740525,-0.03957254,center
gs24.pl,4111,TRUE,,TRUE,@gs24_pl,0.03220385,-0.10348625,0.16757995,center
gazetaprawna.pl,3959,TRUE,,TRUE,@DGPrawna,-0.06490515,-0.12883215,-0.003788352,center
forbes.pl,3885,TRUE,,TRUE,@ForbesPolska,-0.326394,-0.41643125,-0.2401576,left
gk24.pl,3638,TRUE,,TRUE,@gk24_pl,-1.14765,-1.2347085,-1.0564225,left
expressbydgoski.pl,3452,TRUE,,TRUE,@expressbydgoski,-0.1992975,-0.354629,-0.041594515,center
interia.tv,3431,TRUE,,TRUE,@INTERIATV,,,,
tokfm.pl,3279,TRUE,,TRUE,@Radio_TOK_FM,-0.2930055,-0.3773913,-0.2126857,left
tvn24bis.pl,3187,TRUE,,TRUE,@TVN24BiS,-0.3841885,-0.4704675,-0.29920745,left
pikio.pl,3163,TRUE,,TRUE,@PikioPL,-0.06767865,-0.19018445,0.062651245,center
polskatimes.pl,3105,TRUE,,TRUE,@polska_times,-0.1718295,-0.23464645,-0.1139017,center
polityka.pl,3005,TRUE,,TRUE,@Polityka_pl,-0.269386,-0.32448685,-0.2163886,left
newsweek.pl,2978,TRUE,,TRUE,@NewsweekPolska,-0.313437,-0.3597168,-0.264971,left
lm.pl,2956,TRUE,,TRUE,@LM_pl,-1.437775,-1.619955,-1.261472,left
polsatnews.pl,2940,TRUE,,TRUE,@PolsatNewsPL,0.01005236,-0.078683295,0.10461985,center
wirtualnemedia.pl,2853,TRUE,,TRUE,@wirtualnemedia,-0.1320975,-0.2367461,-0.01926896,center
warszawa.pl,2843,TRUE,,TRUE,@wwwwarszawapl,-0.229741,-0.35589435,-0.10092145,center
epoznan.pl,2830,TRUE,,TRUE,,,,,
medianarodowe.com,2780,TRUE,,TRUE,@MediaNarodoweMN,0.75298,0.68678045,0.81604165,right
