"","person_id","sex","age","edu","party","ideo","approve_trump","know_1_w2","know_2_w2","know_3_w2","know_4_w2","know_5_w2","know_fac_1_w2","know_fac_2_w2","know_fac_3_w2","know_fac_4_w2","ptc_w2","att_imp_gun_w1","att_imp_immigrant_w1","att_imp_climate_w1","att_imp_trump_w1","att_imp_econ_w1","att_imp_gun_w2","att_imp_immigrant_w2","att_imp_climate_w2","att_imp_trump_w2","att_imp_econ_w2","att_str_gun_w1","att_str_immigrant_w1","att_str_climate_w1","att_str_trump_w1","att_str_econ_w1","att_str_gun_w2","att_str_immigrant_w2","att_str_climate_w2","att_str_trump_w2","att_str_econ_w2","ft_dem_w1","ft_rep_w1","ft_lib_w1","ft_cons_w1","ft_gun_w1","ft_immigrant_w1","ft_climate_w1","ft_econ_w1","ft_dem_w2","ft_rep_w2","ft_lib_w2","ft_cons_w2","ft_gun_w2","ft_immigrant_w2","ft_climate_w2","ft_econ_w2","stupid_party_opp_w1","stupid_ind_dem_w1","stupid_ideo_opp_w1","stupid_ind_cons_w1","stupid_gun_w1","stupid_immigrant_w1","stupid_climate_w1","stupid_econ_w1","stupid_party_opp_w2","stupid_ideo_opp_w2","stupid_gun_w2","stupid_immigrant_w2","stupid_climate_w2","stupid_econ_w2","under_party_opp_w1","under_ideo_opp_w1","under_gun_w1","under_immigrant_w1","under_climate_w1","under_econ_w1","under_party_opp_w2","under_ideo_opp_w2","under_gun_w2","under_immigrant_w2","under_climate_w2","under_econ_w2","malvol_1_w1","malvol_2_w1","malvol_3_w1","malvol_4_w1","malvol_5_w1","malvol_1_w2","malvol_2_w2","malvol_3_w2","malvol_4_w2","malvol_5_w2","comp_1_w1","comp_2_w1","comp_3_w1","comp_4_w1","comp_1_w2","comp_2_w2","comp_3_w2","comp_4_w2","perpol_1_w1","perpol_2_w1","perpol_3_w1","perpol_4_w1","perpol_1_w2","perpol_2_w2","perpol_3_w2","perpol_4_w2","well_act_1_w2","well_act_2_w2","well_act_3_w2","well_act_4_w2","well_act_5_w2","well_feel_1_w2","well_feel_2_w2","well_feel_3_w2","well_feel_4_w2","well_feel_5_w2","well_feel_6_w2","visits_raw","visits_u","day_range","active_days","count_domains","domain_center","domain_left","domain_right","domain_center_mean","domain_left_mean","domain_right_mean","news_self","news_like_self","condition","party_bin","news","news_like","know_w2","know_fac_w2","att_str_w1","att_str_w2","att_imp_w1","att_imp_w2","ft_party_op_w1","ft_ideo_op_w1","ft_w1","ft_party_op_w2","ft_ideo_op_w2","ft_w2","under_party_op_w1","under_ideo_op_w1","under_w1","under_party_op_w2","under_ideo_op_w2","under_w2","stupid_party_op_w1","stupid_ideo_op_w1","stupid_w1","stupid_party_op_w2","stupid_ideo_op_w2","stupid_w2","malvol_w1","malvol_w2","comp_w1","comp_w2","perpol_w1","perpol_w2","well_feel_w2","well_act_w2"
"393",383,"Female","Age: 45–54","Education: High school",5,6,6,2,0,1,0,0,0,0,0,0,1,5,3,4,6,4,8,9,9,9,4,5,4,2,5,4,6,7,7,7,3,95,46,88,57,97,82,86,78,10,90,10,95,95,99,99,25,4,NA,1,NA,NA,1,1,NA,5,5,6,5,6,2,1,4,2,4,4,4,2,2,1,2,2,4,6,5,5,6,6,2,3,3,3,5,0,0,0,0,5,5,4,5,7,6,4,5,3,5,5,6,1,6,1,1,4,4,4,1,3,1,1,26653,14250,86,86,276,0,7,3,0,63.6741602067184,0.0348837209302326,4.44444444444444,4,"No News - Experiment","Republican",3.2093023255814,0.0813953488372093,0.6,0,3.75,5.75,4,7.5,95,88,67.4375,10,10,25.125,1,1,1.625,2,2,1.8125,4,4,2.5,5,5,3.9375,5.6,3.2,0,4.75,5.5,4.75,2.33333333333333,2.6
"394",341,"Male","Age: 55+","Education: Less than high school",5,10,6,5,5,4,3,3,0,0,1,0,2,4,4,4,6,6,5,5,5,1,5,7,6,7,6,6,5,5,5,1,5,89,18,80,2,76,62,73,51,40,33,29,29,33,33,35,35,5,NA,5,NA,NA,4,NA,NA,1,1,1,1,1,1,2,2,2,4,2,4,5,5,5,5,5,5,3,3,3,4,4,1,1,1,2,2,1,1,1,4,0,0,0,1,5,5,4,6,5,1,7,7,1,3,1,1,3,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,2,"No News - Control","Republican",NA,NA,4,1,6.5,5,4.5,5,89,80,58.875,40,29,26,2,2,2,5,5,4,5,5,3.75,1,1,1,3.4,1.4,1.75,0.25,5,5,0.333333333333333,1.8
"395",89,"Female","Age: 55+","Education: Bachelor",1,2,1,5,4,3,5,5,0,0,0,1,4,7,5,7,7,5,4,3,5,8,8,7,6,7,7,5,3,5,4,7,4,8,94,0,51,99,87,99,71,26,65,27,67,45,71,45,31,5,NA,1,NA,1,1,NA,NA,3,2,3,4,4,3,3,3,2,4,2,4,4,5,5,4,3,6,3,3,5,6,6,2,3,3,2,4,5,5,4,3,1,1,1,1,1,1,7,7,3,3,3,5,5,1,1,1,7,1,3,2,2,2,2,26650,11730,82,22,430,0,3,87,0,63.619191919192,3.95454545454545,3.11111111111111,2,"No News - Experiment","Democrat",19.5454545454545,0.136363636363636,4.4,1,6.25,4,6,5,94,51,58.75,65,67,45.25,3,3,2.5,4,4,3.375,5,5,3,3,3,2.625,4.6,2.8,4.25,1,4,3.5,2,3
"396",866,"Male","Age: 25–34","Education: Junior college",1,0,1,5,4,1,5,3,0,0,0,1,3,7,7,7,7,6,4,8,5,3,3,7,5,6,7,4,6,5,5,5,3,0,100,0,100,100,100,100,100,38,36,36,30,44,43,41,44,7,NA,7,NA,NA,NA,NA,7,1,1,1,2,2,1,6,6,7,4,3,5,4,4,5,5,3,5,7,7,7,6,6,3,1,2,2,3,6,5,4,3,0,1,0,5,7,7,7,7,5,2,7,7,1,2,1,2,4,4,3,1,1,1,2,10926,5278,83,83,239,0,0,3,0,63.7555555555556,0.036144578313253,6.33333333333333,4,"No News - Experiment","Democrat",2.87951807228916,0,3.6,1,5.5,4.75,6.75,5,100,100,75.25,36,30,27.5,6,6,4.4375,4,4,3.375,7,7,5.5,1,1,1.125,6.6,2.2,4.5,1.5,7,5.25,2,2
"397",374,"Female","Age: 25–34","Education: Bachelor",6,8,6,3,2,3,3,2,0,0,0,0,3,7,6,7,6,6,9,9,8,5,5,7,6,7,6,5,7,7,5,6,5,30,19,30,20,71,30,100,39,78,64,99,16,69,97,96,40,2,NA,2,NA,NA,NA,6,NA,7,6,7,7,5,5,6,6,4,6,1,6,3,2,6,1,2,1,2,2,2,1,1,3,2,2,3,4,1,1,1,3,1,5,6,6,3,2,2,2,4,2,3,5,1,2,1,1,5,1,1,0,1,1,0,1423,752,82,69,65,0,0,0,0,63.7555555555556,0,5.33333333333333,4,"No News - Experiment","Republican",0.942028985507246,0,2.6,0,6.25,6,6.5,7.75,30,30,30.25,78,99,63.375,6,6,4.3125,3,3,2.375,2,2,2.75,7,7,5.25,1.6,2.8,1.5,4.5,2.25,3.5,0.666666666666667,2
"398",102,"Female","Age: 18–24","Education: Junior college",4,6,5,4,3,4,3,6,0,0,0,1,3,6,5,6,6,5,9,9,4,9,9,5,6,5,6,6,7,7,4,7,7,56,46,46,63,36,62,34,68,96,18,96,30,81,79,72,90,5,5,4,NA,NA,6,NA,5,4,7,7,4,1,7,5,6,6,5,5,6,3,1,4,1,4,4,6,5,5,2,1,7,7,7,6,6,6,1,5,1,0,0,0,3,5,5,6,5,4,5,7,4,1,3,1,1,7,1,4,1,1,1,3,19054,11165,82,19,536,1,52,75,0.0526315789473684,61.0187134502924,3.94736842105263,5,4,"No News - Control","Republican",28.2105263157895,2.73684210526316,4,1,5.5,6.25,5.5,7.75,56,46,38.25,96,96,68.375,5,5,4.125,3,3,2.5625,5,5,4.125,4,4,3.4375,3.8,6.6,3.25,0.75,5.25,5,1.83333333333333,2.6
"399",752,"Male","Age: 35–44","Education: Graduate school",2,3,1,6,4,5,2,2,1,1,0,0,2,7,7,6,7,5,4,4,5,4,5,7,6,7,6,4,5,5,6,7,4,30,95,20,98,95,95,93,80,54,46,62,43,52,15,58,44,7,3,5,NA,NA,NA,7,NA,5,7,5,4,4,4,1,2,1,2,2,4,5,4,5,6,4,5,6,7,6,5,6,6,6,5,4,4,2,1,1,3,1,5,2,4,7,5,6,7,5,3,5,3,2,4,1,2,1,1,4,2,3,3,3,754,458,74,13,39,0,0,0,0,63.7555555555556,0,5.77777777777778,4,"No News - Experiment","Democrat",3,0,3.8,2,6,5,6.25,4.5,95,98,71.1875,46,43,33.0625,1,1,1.3125,5,5,4,7,7,5.5,5,5,3.8125,6,5,1.75,3,6.25,4,2.66666666666667,2
"400",819,"Male","Age: 25–34","Education: High school",5,8,5,6,6,7,6,5,0,1,1,1,5,4,3,3,4,4,5,8,5,8,9,3,4,4,4,4,6,6,6,7,7,69,55,76,45,78,84,59,76,79,5,61,1,79,80,82,86,5,6,6,NA,6,NA,NA,4,3,3,3,5,4,3,4,4,4,3,4,4,4,4,2,1,3,2,3,4,4,3,3,5,7,6,5,6,4,2,3,2,2,1,2,3,5,3,4,4,4,3,3,3,2,2,1,1,0,1,1,1,0,1,2,43862,21299,81,81,738,0,9,27,0,63.6444444444445,0.333333333333333,2.77777777777778,6,"No News - Control","Republican",9.11111111111111,0.111111111111111,6,3,3.75,6.25,3.5,6.75,69,76,55.0625,79,61,55.6875,4,4,3.1875,4,4,2.75,5,5,4,3,3,2.6875,3.4,5.8,2.75,2,4,3.25,1,1.2
"401",675,"Female","Age: 55+","Education: Graduate school",3,4,1,3,2,2,3,2,0,0,0,1,1,5,5,6,5,5,4,4,9,4,4,6,5,6,7,4,4,4,7,6,3,19,48,18,49,50,54,50,50,19,49,22,48,47,54,89,9,2,NA,2,NA,2,NA,2,NA,1,1,1,1,4,1,4,4,4,4,4,4,4,4,3,2,2,6,5,7,5,5,6,2,1,2,1,3,1,0,0,1,1,2,1,2,3,4,4,5,1,3,2,7,3,3,1,1,7,1,1,0,0,0,0,41160,20631,82,72,660,1,136,239,0.0138888888888889,61.8666666666667,3.31944444444444,4.22222222222222,3,"No News - Experiment","Democrat",9.16666666666667,1.88888888888889,2.4,1,5.25,4.5,5.25,5.25,48,49,37.25,49,48,36.9375,4,4,3.25,4,4,3.0625,2,2,1.75,1,1,1.1875,5.6,1.8,0.5,1.5,4,3.25,0.333333333333333,3
"402",483,"Male","Age: 35–44","Education: Bachelor",6,4,1,6,2,7,5,6,1,0,1,0,1,6,5,5,5,5,2,5,4,3,5,3,3,3,3,4,3,7,4,3,5,65,70,50,70,100,80,65,70,48,33,52,29,44,77,29,34,4,NA,3,2,5,NA,4,NA,2,3,4,2,4,1,3,4,3,3,3,3,3,3,2,4,4,5,4,3,4,2,3,5,4,6,6,5,2,0,0,0,2,4,1,0,5,3,6,6,7,6,4,5,1,4,1,1,2,1,1,1,0,0,1,10361,5076,79,33,170,0,0,0,0,63.7555555555556,0,4,5,"No News - Experiment","Republican",5.15151515151515,0,5.2,2,3.25,4.75,5.25,4,65,50,48.6875,48,52,36.75,3,3,2.5,3,3,2.6875,4,4,3.375,2,2,1.9375,3.2,5.2,0.5,1.75,5,5.5,0.666666666666667,1.8
"403",340,"Female","Age: 45–54","Education: Graduate school",1,1,1,7,6,6,6,6,0,1,1,0,5,4,7,7,5,4,9,4,9,9,2,7,6,7,7,4,7,4,7,7,2,10,80,5,75,65,90,99,46,0,51,2,81,87,71,100,20,6,NA,1,NA,6,NA,NA,NA,3,1,4,4,7,1,2,2,2,3,2,4,5,5,3,2,1,7,5,3,2,2,5,4,5,3,3,6,4,4,4,5,0,1,0,3,4,3,5,5,1,1,2,5,1,3,1,1,4,1,4,2,3,2,3,12041,5893,81,52,250,2,1,76,0.0384615384615385,63.7363247863248,1.46153846153846,4.55555555555556,4,"No News - Experiment","Democrat",4.80769230769231,0.0192307692307692,6.2,2,6,5,5.5,6,80,75,57.75,51,81,50.625,2,2,1.9375,5,5,3.5625,6,6,4.75,3,3,2.75,3.4,4.2,4.25,1,4.25,2.25,2.5,2
"404",399,"Male","Age: 45–54","Education: Graduate school",7,7,1,4,4,4,3,2,0,0,0,0,1,6,6,6,1,6,4,3,5,5,5,6,6,6,4,5,4,4,5,5,6,23,23,25,22,23,23,27,24,60,40,84,11,51,60,58,39,2,NA,2,NA,NA,1,1,NA,3,5,3,2,5,2,5,5,5,5,1,5,4,2,4,5,3,4,2,4,2,1,1,2,1,4,2,4,0,0,0,2,2,3,1,4,2,2,6,7,6,4,7,7,1,2,2,2,4,3,2,2,2,3,2,30710,13046,83,83,264,0,38,877,0,63.2977242302544,10.566265060241,3.88888888888889,4,"No News - Control","Republican",3.18072289156627,0.457831325301205,3.4,0,5.75,4.75,6,4.25,23,25,18.3125,60,84,49.25,5,5,3.75,4,4,3.25,2,2,1.5,3,3,2.5,2,2.6,0.5,2.5,4.25,6,2.33333333333333,2.2
